university_name,x_coor,y_coor
Ministry of Education China,39.9123594,116.3630676
Beijing Institute of Technology,39.9578214,116.3098236715735
Ministry of Science and Technology China,7.19745055,124.2473150762602
Tencent,37.42670755,-122.13941696760563
Sinopec,-0.34762155,-77.01076522511056
China Telecom Corp. Ltd.,,
RIKEN,47.2760208,7.8491956
Bryant University,41.922091449999996,-71.53715173504338
Weichai Power Co. Ltd.,,
SAIC Motor,13.13823105,101.16170098824927
China Merchants Bank,23.0127354,113.3557882
Chinese Academy of Sciences,22.5950801,113.9874581
Jamia Millia Islamia,28.55849025,77.28116473551759
Washington University (WUSTL),38.634807,-90.258941
Jinan University,23.1334847,113.34281805234318
Chinese Academy of Engineering Physics,39.98858425,116.3235720340598
China People's Police University,0.3366435,32.5945004
Beihang University,39.9809427,116.34097867654876
North China Electric Power University,38.8760446,115.4973873
Cornell University,42.4529076,-76.48008423030923
Delft University of Technology,51.99882735,4.373960368154041
University of Science & Technology Beijing,47.57240295,-52.73263579325419
Guangxi University,22.846517050000003,108.29094394671847
Tsinghua University,40.002290450000004,116.3209629696906
University of Gottingen,51.5411003,9.948200846079496
Xiamen University,24.4399419,118.09301780912739
Chang'an University,34.3713614,108.8969416561962
Swinburne University of Technology,-37.820558500000004,145.03857627268115
Northwestern Polytechnical University,34.24691835,108.91061577542916
China Agricultural University,40.02522795,116.27454051989938
Royal Institute of Technology,59.34986645,18.07063213298418
King Khalid University,18.08884075,42.72194396656066
Nankai University,39.101985,117.1609501175526
Southern University of Science & Technology,12.82342625,80.04580003768095
Peking University,39.99171495,116.30393496863539
Shanghai Institute of Technology,31.16820275,121.41821010067275
Yancheng Institute of Technology,,
Lanzhou University,36.0504988,103.8544558
Northwestern University,42.0557157,-87.67529454739416
University of Hong Kong,54.0855168,13.3892808
Shandong Normal University,36.5414035,116.82640908020991
Nanjing University of Science & Technology,32.031825999999995,118.85214274279244
University of Chicago,41.79139685,-87.60084387193544
Bohai University,40.885785299999995,121.05748469752312
University of Shanghai for Science & Technology,31.29501605,121.55067391001644
Henan Polytechnic University,,
Communication University of Zhejiang,30.322838750000003,120.33732613940127
University of Delaware,39.6803338,-75.75307489920786
Zaozhuang University,34.8108822,117.3178922
Shandong University of Science & Technology,36.001464350000006,120.1162403027048
China National Nuclear Corporation,,
Lanzhou City University,36.0991341,103.6989021
North China Institute Science & Technology,,
Clemson University,34.66869155,-82.83743475607795
Beijing Technology & Business University,39.9578214,116.3098236715735
Korea University,36.6108905,127.2934246
Hong Kong Polytechnic University,22.3026962,114.1780912
Ming Chuan University,24.9856141,121.34257685950413
Beijing Institute of Fashion Technology,39.9727797,116.42472283594509
University of Oxford,51.7590373,-1.2524298
Nanjing University of Finance & Economics,32.110388549999996,118.91913392014236
Xi'an Jiaotong University,32.0919554,121.0646854
Dalian Polytechnic University,,
Academy of Military Medical Sciences - China,,
University of New South Wales Sydney,-33.9170154,151.22518231269635
Liaoning University of Technology,41.142077900000004,121.11834280661527
University of Alberta,53.52682,-113.5244937350756
Hebei University,38.88083315,115.56063234113907
Kyushu University,33.84400355,130.87845091789978
Shenyang Aerospace University,41.9240499,123.39871469903173
University of Sydney,-33.896083000000004,151.1846613599298
Dalian University of Technology,38.8812564,121.52015999053627
Xi'an University of Science & Technology,,
Taiyuan University of Technology,38.0148549,112.44226612616885
China Electronics Technology Group,31.87925585,117.25149062992091
Shanghai University,31.3159206,121.38802427736479
Alibaba Group,30.1918037,120.185449
Minjiang University,26.0695362,119.16502226486209
PLA Information Engineering University,34.81660415,113.56714270442518
Air Force Military Medical University,36.2459679,-115.04900979856775
