 | university_name |  x_coor | y_coor |
| :-: | :-: | :-: |
|Research Center Julich| 6.4102|50.9152|
|Zhejiang Wanli University|120.7587|30.2395|
|Shandong Institute of Petroleum & Chemical Technology|117.4450|36.8815|
|High Energy Accelerator Research Organization (KEK)|139.5849|36.0025|
|Nguyen Tat Thanh University (NTTU)|106.6917|10.8480|
|Tokai University|139.5470|35.6073|
|Duke Kunshan University|120.9485|31.3880|
|State Power Investment Corporation|116.4088|39.8800|
|University of Tartu|26.7289|58.3802|
|Wenzhou Medical University|120.6688|27.9892| 
|Qingdao Agricultural University|120.3885|36.0665|
|Chinese Culture University|121.5957|25.0235|
|Henan Institute of Science & Technology|113.6263|34.7787|
|UDICE-French Research Universities|-3.7030|43.2964|
|Universite Paris Saclay|2.1787|48.7247|
| A.V. Luikov Heat & Mass Transfer Institute of the National Academy of Sciences of Belarus|52.1041|23.8944|
|University of Portsmouth|-1.0967|50.7999|
|University of Taipei|121.5393|25.0314|
|Harbin University of Commerce|126.6562|45.8097|
|National Institute of Education (NIE) Singapore|103.7907|1.3431|
|Universidad Politecnica Salesiana|-78.5115|-0.2186|
|Kagoshima University|130.5775|31.5897|
|Bengbu Medical College|116.3059|30.7114|
|Aerospace Corporation - USA|-118.1350|33.8057| 
|Luoyang Normal University|112.4106|34.6527|
|Virginia Commonwealth University|-77.4507|37.5295|
|Ministry of Transport of the People's Republic of China|116.4088|39.8800|
|Hubei University of Automotive Technology|114.4630|30.6005|
|University of Kaiserslautern|7.7374|49.4378|
|University of Helsinki|24.9730|60.2166| 
|Ural State University of Railway Transport|60.6056|56.8128|
|Institut Laue-Langevin (ILL)|6.1333|45.6167|
|Universite de Caen Normandie|-0.3964 |49.1950|
|HSE University (National Research University Higher School of Economics)|37.6442|55.7083|
|Russian University of Transport|30.3833|59.8944|
|Xiamen Medical College|118.0831|24.4775|
|Hebei Normal University of Science & Technology|114.3323|37.4152|
|Japan Science & Technology Agency (JST)|139.7670|35.6811|
|Embry-Riddle Aeronautical University|-81.0765|29.1919|
|Dortmund University of Technology|7.4668|51.3063|
|Hunan City University|112.9811|28.2183|
|Dalian Medical University|121.6167|38.8833| 
|Kwangwoon University|126.9226|37.5597|
|China Tobacco Yunnan Industrial Co Ltd|102.7076|24.8792|
|Chengdu Normal University|104.0278|30.6508| 
|Xinjiang Normal University|87.6089|43.8102|
|London South Bank University|-0.1010|51.4972|
|Chung Ang University|126.9948|37.4723|
|Hunan University Of Humanities Science & Technology|112.9919|28.1632|
|National Institutes for Quantum Science & Technology|135.75|34.6667|
