 | university/institute name | x | y |
|:-:|:-:|:-:|
|Jiangsu Open University|118.48|32.25N|
| Qassim University | 26.55	| 43.83N |
| Gandhi Institute of Technology & Management (GITAM)|83.15|17.22N|
|Yanka Kupala State University of Grodno|23.83|53.67N|
|CSIR - Central Scientific Instruments Organisation (CSIO)|76.76|30.72N |
|Academy of Scientific & Innovative Research (AcSIR)|77.22|28.61N|  
|Council of Scientific & Industrial Research (CSIR) - India|77.22|28.61N|
|University of Utah|111.84|40.76N|
|Hebei Normal University for Nationalities|114.35|38.85N|
|Dalarna University|15.47|60.64N|
|Al Baha University|41.73|19.97N|
|Indian Institute of Management Indore|75.85|22.72N|
|Immanuel Kant Baltic Federal University|20.50|54.70N|  
|Southern Methodist University|96.81|32.83N|
|Institut National des Sciences Appliquees de Rennes|48.07|48.11N|   
|University of Karachi|67.07|24.89N|  
|Florida International University|80.37|25.76N|
|Florida Polytechnic University|81.74|28.05N|
|All India Institute of Medical Sciences (AIIMS) New Delhi|77.20|28.60N|
|Xi'an Academy of Fine Arts|109.41|34.17N|  
|Edinburgh Napier University|55.93|25.14N|
|Institut d'Estudis Espacials de Catalunya (IEEC)|2.11|41.38N|
|Sultan Qaboos University|58.11|23.33N|  
|Rollins College|81.31|28.58N|  
|Minia University|30.75|28.09N|
|Thiruvalluvar University|79.18|9.29N|  
|NIH Eunice Kennedy Shriver National Institute of Child Health & Human Development (NICHD)| 77.11 | 38.99N |
|United States Air Force|38.87|77.35	N|
|Semmelweis University|19.06|47.5N|  
|CPC Corporation|121.55|	25.07N|
|Guangxi University of Chinese Medicine|108.27|22.83N|
|West Yunnan University of Applied Sciences|	100.53| 23.74N |
