 | university_name | x_coor | y_coor |
| - | - | - | 
|RISE Research Institutes of Sweden|17.676|60.382N|
|Avignon Universite|4.808|43.951N|
|Lampang Rajabhat University|99.485|18.152N|
|Southern Marine Science & Engineering Guangdong Laboratory (Zhuhai)|113.315|22.103N|
|London School Economics & Political Science|-0.127|51.518N|
|Children's Hospital Colorado|-104.956|39.683N|
|University of Colorado Anschutz Medical Campus|-104.976|39.678N|
|Lebanese American University|35.483|33.883N|
|Istanbul Ticaret University|28.986|41.103N|
|University of Ghana|-0.172|5.605N|
|Shaanxi University of Technology|108.960|34.258N|
|Siksha 'O' Anusandhan University|85.847|20.272N|
|Institute of Problems of Chemical Physics of the Russian Academy of Sciences|37.313|55.702N|
|Ghent University Hospital|3.703|51.036N|
|CIHEAM|-2.317|43.604N|
|CIHEAM IAM Montpellier|3.879|43.661N|
|Institut de Recherche pour le Developpement (IRD)|2.325|48.839N|
|Institut Agro|8.068|43.542N| 
|CIRAD|3.956|43.549N|
|National Synchrotron Radiation Research Center|120.995|24.476N|
|Universidade Federal do Ceara|-38.548|-3.765N|
|Universite Mouloud Mammeri de Tizi Ouzou|4.045|36.756N|
|Kogakuin University|139.730|35.696N|
|Helmholtz-Zentrum Dresden-Rossendorf (HZDR)|13.525|51.158N| 
|CSIC-UPV - Instituto de Gestion de la Innovacion y del Conocimiento (INGENIO)|0.368|39.485N|
|College of Engineering Guindy|80.236|13.083N|
|Jilin Jianzhu University|118.825|43.811N|
|CSIC - Centro de Investigacion en Nanomateriales y Nanotecnologia (CINN)|3.716|40.411N|
|Feng Chia University|120.741|24.156N|
|Ontario Tech University|-78.861|43.864N|
|Universite 8 Mai 1945 de Guelma|7.46|36.478N|
|Vaal University of Technology (VUT)|-26.695|-27.904N|
|North West University - South Africa|-25.549|-18.61N| 
|University of Kuala Lumpur |101.683|3.142N|
|Technical University Czestochowa|19.096|50.832N|
|National Centre of Scientific Research Demokritos|23.786|38.032N|
|Istituto per la Sintesi Organica e la Fotoreattivita (ISOF-CNR)|11.276|46.064N|
|Eotvos Lorand Research Network|19.61|47.5322N|
|Hungarian Academy of Sciences|19.041|47.487N|
|Hungarian Centre for Energy Research|18.991|47.555N|
|Hungarian Research Centre for Natural Sciences|17.679|47.496N|
|Central University of Jammu|-74.807|32.754N|
|Education University of Hong Kong (EdUHK)|114.182|22.309N|
|National Institute for Communicable Disease Control & Prevention Chinese Center for Disease Control & Prevention|116.368|39.939N|
|De Montfort University|-1.1272|52.636N|
|HHL Leipzig Graduate School of Management|12.378|51.342N|
|Naval Postgraduate School|-121.794|36.584N|
|Technical University of Ostrava|18.2744|49.834N|
|University of Bern|7.451|46.956N|
|University of Turin|7.659|45.063N|
