 | University_name | x_coor | y_coor | 
|:-:|:-:|:-:|   
| Universidade de Coimbra          | -8.4276| 40.2131|
| National Institute of Technology Kurukshetra          | 29.9658 | 29.6699 |
| Austrian Academy of Sciences   | 16.3719 | 48.2092 |
| Sanford Burnham Prebys Medical Discovery Institute    | -117.3021 | 33.0819 |
| Universitas Bina Nusantara   | 106.843 | -6.2943 |  
| Masaryk University Brno   | 16.6181 | 49.1972|    
| Bentley University| -71.1792 | 42.3639|
|CSIC - Instituto de Estructura de la Materia (IEM)  | -3.6185 | 40.4273|
| University of Cape Coast |-1.2438 | 5.1073|
| Institut Paoli-Calmette (IPC)|43.5532 | 5.0500 |
| UNICANCER         | 2.3766 | 48.8411|
| Edge Hill University   | -2.7483 | 53.5361|
| Sookmyung Women's University   | 126.9321 | 37.5662|  
|  Guizhou University of Traditional Chinese Medicine| 106.7341 | 26.5823|  
|  Aomori University of Health & Welfare | 140.7569 | 40.8152|
|  Niigata University| 138.9318 | 37.9128|
| Chosun University| 126.9232 | 35.8714|
| NYU Shanghai| 121.4785 | 31.2339|
| Arvin Coruh University   | 41.8065 | 41.1791|
| National Renewable Energy Laboratory - USA |-105.2053 | 39.7448 |
| Ben Gurion University |34.7997 | 31.2514 |
| Le Reseau International des Instituts Pasteur (RIIP) | 2.3333 | 48.8667 |
| University of Kansas | -95.2353 | 38.9563| 
| Pepperdine University | -118.8227 | 34.0672|
| College of Charleston| -79.9319 | 32.7757|
| Oil & Gas University of Ploiesti| 26.0461 | 44.9347|
| Guangxi Minzu University| 108.3208| 22.8145|
| Hirosaki University| 140.4925| 40.6014|
| Saint Marys University - Canada|-63.5833 | 44.6667|
| Indian Institute of Technology (IIT) - Kanpur|80.2327 | 26.5126 |
| Istituto di Ricerche sulla Combustione (IRC-CNR)|7.6849 | 45.1824 |
| Prince Sultan University|39.6983 | 24.7431 |
| Menofia University| 30.9930| 30.4896|
| Baskent University| 32.6610| 39.8811| 
| Africa Rice Center|2.2167 | 11.9667|
| International Rice Research Institute (IRRI)|120.9985 | 14.6516|
| Guangdong Academy of Agricultural Sciences|113.3750 | 23.1667|
| GD Goenka University|77.1799 | 28.6618|
| Prince of Songkla University |100.6000 | 7.3000 |
| Kyoto Womens University | 135.7667 | 35.0667|  
|Tomsk Polytechnic University|84.9500 | 56.5000|
|Tomsk State University Architecture & Building| 84.9500 | 56.4833 |
|Institute of High Current Electronics Siberian Branch Russian Academy of Sciences|84.9167|56.3333|
|Al-Farabi Kazakh National University| 71.4000 | 43.2500|
|Universita di Modena e Reggio Emilia|10.9200 | 44.6497 |
|Istituto Officina dei Materiali (IOM-CNR)|7.6849 | 45.1824|
|Yale NUS College|103.8194 | 1.3482 |
|University of Chester| -2.8911 | 53.1831|
|Korea National University of Transportation|127.0031 | 37.5736| 
|Izmir Katip Celebi University|27.1361 | 38.4697|
