 | university_name | x_coor | y_coor |  
|:-:|:-:|:-:|
|GlaxoSmithKline|E|N|
|CNRS - Institute of Ecology & Environment (INEE)|E|N|
|Danderyds Hospital|E|N| 
|Indraprastha Institute of Information Technology Delhi|E|N| 
|Medical College of Wisconsin|E|N|
|CSIC-UMA - Instituto de Hortofruticultura Subtropical y Mediterranea La Mayora (IHSM)|E|N|
|Alberta Innovates|E|N|  
|United States Department of the Interior|W|N|
|Deutsches Primatenzentrum (DPZ)|E|N|
|UTMD Anderson Cancer Center|W|N| 
|Govind Ballabh Pant Institute of Postgraduate Medical Education & Research|E|N|
|Cancer Council Queensland|E|N|
|Umea University	|E|N|
|Kuwait University|E|N|  
|Institute of Hygiene & Tropical Medicine - UNL|E|N| 
|Universita degli Studi di Bari Aldo Moro|E|N| 
|Universitetet i Stavanger|E|N|
|Erasmus MC|E|N| 
|Iran University of Medical Sciences|E|N| 
|Dokuz Eylul University|E|N|
|Georgetown University|W|N| 
|Catholic University of Korea|E|N| 
|UniLaSalle|E|N|  
|Carl von Ossietzky Universitat Oldenburg|E|N| 
|University of Arkansas Medical Sciences|W|N|
|Beatson Institute|W|N|
|University Children's Hospital Zurich|E|N|
|Flinders Medical Centre|E|N|
|University of Lubeck|E|N|
|Institut National Polytechnique de Toulouse|E|N|
|National Institute of Genetics (NIG) - Japan|E|N|
|Research Institute for Neurosciences & Medicine|E|N|
|Spaulding Rehabilitation Hospital|W|N|
|DePaul University|W|N|  
|Johann Heinrich von Thunen Institute |E|N|
|University of Ibadan|E|N|   
|Roehampton University|W|N|  
|Universidad Costa Rica|W|N|  
|Kansas State University|W|N|
|University of Fort Hare	|E|N|
|Rhodes University|E|N|
|Mansoura University|E|N|
|Teikyo University|E|N| 
|US Food & Drug Administration (FDA)|W|N|
| Royal Infirmary of Edinburgh|W|N|
|NIH National Institute of Neurological Disorders & Stroke (NINDS)|W|N|
|Medical University of Vienna|E|N|
|Konkuk University|E|N|
|Toronto General Hospital|W|N|
|Nagoya City University|E|N|
