 | university_name  | x_coor | y_coor |  
|:-:|:-:|:-:|
| Peter the Great St. Petersburg Polytechnic University | 30.3561667 | 59.9391667 |
| Heilongjiang University of Technology |127.41972 | 46.58556|
| Laoshan Laboratory  | 120.3213 | 36.619 |
|Suihua University |126.97 | 47.62333|
|China Railway Construction Corporation | 116.42167| 39.90583 |
|Dalian Naval Academy|121.51917|38.92267|
|Jomo Kenyatta University of Agriculture & Technology | -0.1944| 37.0369|
|Ministry of Justice - Egypt | 31.2357 | 30.0444|
|Heilongjiang Bayi Agricultural University|126.54146|46.77654|
|China Animal Health & Epidemiology Center|116.32|39.55|
|University of Engineering & Technology Peshawar| 71.50000| 34.01667 |
|AGH University of Krakow|19.93972|50.06417|
|Cape Breton University| -60.25|46.13417| 
|University of Detroit Mercy| -83.06667|42.36556|
|Komsomolsk-na-Amure State University|136.91667|51.33333|
|Stavropol State Agrarian University|41.95778|45.05125|
|Jinling Institute of Technology |118.78167 | 32.06167|
|Asia Eastern University of Science & Technology  | 92.83722| 25.18556|
|Heilongjiang University of Chinese Medicine |126.56667| 46.8| 
|Asian Institute of Technology |100.74167| 14.10889|
|POWERCHINA Huadong Engineering Corporation Limited|121.48333|31.21667|
|University of Bradford| -1.75138| 53.79403|
|Beijing Language & Culture University|116.46667|40.06667|
|Peoples Friendship University of Russia| 37.53194 |55.7075|
|Beibu Gulf University|109.31667|21.8|
|Dartmouth College| -72.28833|43.70444|
|Harbin Sport University|126.65|45.75|
|Royal Military College - Canada| -76.22222|44.23333|
|Northwest Minzu University|103.81667|36.58333 |
|Ansteel Group|123.91667|41.8|
|Chittagong University of Engineering & Technology (CUET) | 91.82611| 22.37278|
|National Ocean Technology Center (NOTC) |80.24861|13.08639|
|Institute of High Temperature Electrochemistry|102.90000|30.27400|
|Valahia University of Targoviste|25.39333|44.93778| 
|Longdong University |118.81667|36.9|
|Wenzhou Polytechnic|120.7|28.01667|
|Vietnam National University of Agriculture (VNUA) | 105.8 | 21.03333|
|Saudi Basic Industries Corporation (SABIC) |46.71667| 24.7|
|Oakland University |-83.43056 |42.68847|
|Jilin University of Finance & Economics|126.55917|43.88667|
|Guizhou University of Finance & Economics|106.71667|26.58333|
|Bangor University| -4.12917|53.22917|
|Huaibei Normal University|116.78333|33.91667|
|Universite Ferhat Abbas Setif|5.41667|36.19222|
|Qiqihar Medical University|123.97 |47.33|
|Universita Mediterranea di Reggio Calabria|15.64972|38.19028|
|Hengyang Normal University|112.61667|26.91667|
|Hunan Institute of Technology| 113.39167|27.90222|
|Belarusian State University of Informatics & Radioelectronics | 27.56667 | 53.9|
|Heilongjiang Academy of Agricultural Sciences |126.65|45.75|
