 | university_name  | x_coor | y_coor |
| :-: | :-: | :-: |
|Canterbury Christ Church University|1.0711|51.289|
|Wuyi University Fujian|118.339|27.718|  
|Universite Le Havre Normandie|0.2034|49.489|
|Jacksonville University| -81.657|30.319|
|National Research Institute of Astronomy & Geophysics - NRIAG|31.201|30.046|
|Presidency University Kolkata|88.355|22.572| 
|Rio Tinto|-9.917|-21.235|
|Silesian University of Technology|18.955|50.315|
|Universidade Federal de Uberlandia|-48.288|-18.921|
|American University of Beirut|35.493|33.889|
|Institute of Macromolecular Compounds of the Russian Academy of Sciences|37.623|55.750|
