 | university_name  | x_coor | y_coor |
| :-: |:-: | :-: |
|Intel Corporation|-122.180833|37.417778|
|Tianshui Normal University|105.8000|34.5833|     
|Hunan Institute of Science & Technology|112.9333|28.1833|
|Saitama Institute Technology|139.7333|35.8167|
|Kangwon National University|128.6167|38.1500|
|Technology Innovation Institute  | 54.4500| 24.7500|
| Tunghai University|120.4667|24.1583|
|National Chin-Yi University of Technology|120.6561|22.9970|
|Khulna University|89.5591|22.8354 |
|Islamic University|-88.1833|24.9167|
|Universite de Rouen Normandie|1.0970|49.4327|
|Budapest Business School|19.0734|47.5048|
|Konya Technical University|32.4833|37.9167|   
|University of Hyderabad|78.4694|17.4083|
|Ritsumeikan Asia Pacific University|131.6333|33.8500|
|Mustafa Kemal University|36.2539|36.2222| 
|University of Split|16.5030|43.4882|
|University of Bolton|-2.4222|53.5889|
|Erciyes University|35.5167|38.6833|
|Shenzhen Research Institute The Hong Kong University of Science & Technology|114.1333|22.5333|
|SKEMA Business School|7.0667|43.6333|
|University of Saint Joseph (Macao)| 113.5667|   22.1833|
|AgroParisTech|2.35|48.85|
|Jingchu University of Technology|113.2167|30.3167|
|Universidade Federal de Mato Grosso do Sul|-54.6147|-20.4430|
|Anna University|80.2389|13.0936|
|Anna University Chennai|80.2333|12.9833|
|Easwari Engineering College| 80.1464  |13.0033|
|Vietnam National University Hochiminh City|106.6571|10.8213|
|Council for Scientific & Industrial Research (CSIR) - South Africa|28.1000|-26.1333|
|Cag University - Turkey|28.9667|41.1333|  
|Slovenian Academy of Sciences & Arts (SASA)|14.4676|46.0789|
|University of Freiburg|7.8548|  48.0000|
|Jozef Stefan Institute|14.5167|46.0417| 
|NIH National Institute of Biomedical Imaging & Bioengineering (NIBIB)|-77.1167| 38.8833|
|City University London|-0.1167|51.5167|
|Bundeswehr University Munich|11.5667|  48.1333|
|Heinrich Heine University Dusseldorf|6.8000|51.2167|
|University of Milan|9.1333|45.4667|
|Anqing Normal University|117.05|30.53 |
|Synopsys Inc|-121.7864|37.3126|
|Facebook Inc|-122.0833|37.45|
|Cleveland State University|-81.6222|41.5|
|University of Phayao|100.2167|19.7833|
|South Valley  University Egypt|28.1667  |26.8000  |
|Macao Polytechnic University|113.5333|22.2000|
|Istituto di Fotonica  e Nanotecnologie (IFN-CNR)|9.1167|45.4615|
| Nanjing Forest Police College |118.8056|32.0694|
|Public Authority for Applied Education & Training (PAAET) - Kuwait|47.9611|29.3667| 
|Institute of Modern Physics CAS|  119.1667   |31.7667 |
