 | university_name                    |  x_coor   |   y_coor   |  
| - | - | - | 
|Fahrenheit Universities	|	34.411 |	-118.771  |
|University of Gdansk        |	54.365 |	18.62  |
|University for Library Studies & Information Technology	|	48.23 |	11.62 |
|University Katolik Indonesia Atma Jaya	|	-6.227 |	106.831 |
|Budapest University of Technology & Economics  |	47.498 |	19.093	|
|Saarland University  |	49.24 |	7.12	 |
|Hong Kong Shue Yan University	|	22.27  |	114.169 |
|University of Calabria	|	39.349 |	16.231 |
|Lovelace Respiratory Research Institute |	35.081 |	-106.553 |
|University of Munster	|	51.962 |	7.633| 
|Istituto Nanoscienze (NANO-CNR)	|	43.883 |	10.589 |
|GLA University	|	34.795 |	77.386 |
|Ibn Zohr University of Agadir	|	30.424 |	-9.576 |
|Ministry of Education of Azerbaijan Republic	|	40.396 |	49.889 | 
|Baku State University		|	40.378|	49.856 |
|Institute of Physics of the Azerbaijan National Academy of Sciences	|	40.367 |	49.841 |
| Azerbaijan National Academy of Sciences (ANAS)	|	40.379 |	49.839 |
|University of Fribourg	|	46.805 |	7.148 | 
|University of Sindh	|	24.866 |	68.377  | 
|Damanhour University 	|	31.036 |	30.444 |
| Sindh Agricultural University|	24.856|	68.381|
|Karlstad University		|	59.378|	13.506|
|Aerodyne Research	|	42.371 |	-71.1 |
|Universitat Jaume I    |	39.992|	-0.332|
