 | university_name | x_coor | y_coor |  
|:-:|:-:|:-:|
|GlaxoSmithKline|	-0.20251	|51.2907|
|CNRS - Institute of Ecology & Environment (INEE)|	3.86724	|43.6192|
|Danderyds Hospital|	18.0733|	59.4467|
|Indraprastha Institute of Information Technology Delhi|	77.23|	28.53|  
|Medical College of Wisconsin|	-87.9497| 	43.0389|
|CSIC-UMA - Instituto de Hortofruticultura Subtropical y Mediterranea La Mayora (IHSM)|-4.0087|	36.7282|
|Alberta Innovates|	-113.524|	53.5226|
|United States Department of the Interior|	-77.0369|	38.8928|  
|Deutsches Primatenzentrum (DPZ)| 	8.68194|	51.3386|
|UTMD Anderson Cancer Center|	-95.3961|	29.7089|
|Govind Ballabh Pant Institute of Postgraduate Medical Education & Research|	77.1702|	28.5657|
|Cancer Council Queensland|	153.0142|	-27.4679|
|Umea University|	20.2589|	63.8227|  
|Kuwait University|	47.9831|	29.3072|
|Institute of Hygiene & Tropical Medicine - UNL|	8.5375|	41.1606|
|Universita degli Studi di Bari Aldo Moro|	16.8681|	41.1271|
|Universitetet i Stavanger|	5.77639|	58.9725|
|Erasmus MC|	4.48652|	51.9241|
|Iran University of Medical Sciences|	51.4158|	35.6961|
|Dokuz Eylul University|	27.1432|	38.4189|  
|Georgetown University|	-77.0729|	38.9056|
|Catholic University of Korea|	126.9646|	37.4669| 
|UniLaSalle|	1.61232|	48.7922|
|Carl von Ossietzky Universitat Oldenburg|	8.21283|	53.1361|
|University of Arkansas Medical Sciences|	-92.269|	34.736| 
|Beatson Institute|	-4.25323|	55.8625|
|University Children's Hospital Zurich|	8.53946|	47.3769|
|Flinders Medical Centre|	138.5394|	-34.9243|
|University of Lubeck|	10.6833|	53.8667|
|Institut National Polytechnique de Toulouse|	1.44405|	43.6034|
|National Institute of Genetics (NIG) - Japan|	138.3828|	36.0663| 
|Research Institute for Neurosciences & Medicine|	8.65671|	49.8797|
|Spaulding Rehabilitation Hospital|	-71.0531|	42.3687|
|DePaul University|	-87.6563|	41.9247|
|Johann Heinrich von Thunen Institute|	10.4531|	53.8706|
|University of Ibadan|	3.8958|	7.3753|
|Roehampton University|	-0.25303|	51.468| 
|Universidad Costa Rica|	-84.0756|	9.9456|
|Kansas State University|	-96.6009|	39.2036|  
|University of Fort Hare|	26.8821|	-32.7769|
|Rhodes University|	26.6736|	-33.9938|  
|Mansoura University|	31.0412|	31.0248| 
|Teikyo University|	139.7200|	35.7167|
|US Food & Drug Administration (FDA)|	-76.9879|	39.0453|
|Royal Infirmary of Edinburgh|	-3.18715|	55.9424|
|NIH National Institute of Neurological Disorders & Stroke (NINDS)|	-77.1071|	39.0021|
|Medical University of Vienna|	16.3719|	48.2106|
|Konkuk University|	126.9436|	37.5528|
|Toronto General Hospital|	-79.3856|	43.653|
|Nagoya City University|	136.9111|	35.1824
