 | university_name | x_coor   | y_coor   |
|:-:|:-:|:-:|
| Zhejiang A&F University | 30.255583|120.195833|
| China International Marine Containers | 32.012778|   118.808333|
|  National University of Science & Technology (MISIS) |55.790278|37.618611|
| Royal Belgian Institute of Natural Sciences |50.841389|4.354722|
| Zhuzhou Times New Material Technology Co Ltd|27.831944| 113.371944|
| Moscow State Technology University Stankin|55.624722|37.788333| 
| Escuela Superior Politecnica del Litoral|−2.18611|−80.981389|
| Universidad Austral de Chile|−42.816667|−73.65|
|Bashkir State Agrarian University|54.735869| 55.968806|
| Vietnam Maritime University (VMU / VIMARU) |10.803277|106.700357|
| Chengdu Aircraft Industry Group (CAIG)|30.696111|104.090278|
| Chaoyang University of Technology|25.026389|121.540556|
| University of New England |−29.704444|153.168889|
|   Longyan University|25.916667|116.916667|
| National Optical Astronomy Observatory|-32.786389|-105.809722|
|University of Bayreuth|49.9466|11.5755|
|Lavrentyev Institute of Hydrodynamics|56.447023|42.441276|
| Korea Research Institute of Chemical Technology (KRICT)|36.739722	|127.029722|
| Russian State Agrarian University - Moscow Timiryazev Agricultural Academy|55.719011|37.513181|
|Bangkok University|13.789167|100.562778|
|Nanning University|22.832778|108.373056|
|Saint Ambrose University|41.528333|-90.658333|
|1 Decembrie 1918 University Alba Iulia|46.0779|23.5829|
|Defence Science & Technology |12.9667|77.5834|
|Ansys Inc.|40.4525|-79.952222|
|Central Michigan University|43.581944|-84.786944|
|Ufa University of Science & Technology|54.8008|56.0044|
|Universidade Federal de Itajuba|-22.5|−45.416667|
|Sophia University|35.716944|139.754722|
|Caterpillar Inc |40.843889|-89.675|
| Perm Federal Research Center Ural Branch RAS|58.0105|56.1975|
|Institute of Technical Chemistry of the Ural Branch RAS|55.793611|60.596944|
|Kostroma State University|57.7675|40.9275|
| Moscow State University of Food Production|55.735|37.651667|
|University of Zagreb| 45.809722|15.978333|
|CSIC - Institut de Robotica i Informatica Industrial (IRII) |41.392222|2.170833|
|Kennesaw State University|33.977222|-84.482778|
|Le Mans Universite	|48.005|0.196389|
|Nuclear Materials Authority (NMA)|31.6861|29.398333| 
|Linnaeus University|57.3930389|16.386|
| Pacific Geographical Institute of the Far Eastern Branch of the Russian Academy of Sciences|43.115556|131.885278|
|Pukyong National University|35.171389|129.083889|
|Diponegoro University |−6.8741 |110.3868|
|University of Craiova|44.316944| 23.834167|
|Kurdyumov Institute of Metal Physics|44.823889|37.608611|
|Institute of Mathematics of the Romanian Academy|44.4169| 26.105088|
| CIC Energigune|43.488611|-2.971111|
|Pennsylvania Medicine|39.953056|-75.196111|
| Gakushuin University|35.684167|139.731111|
|Chengdu Sport University|30.7358|104.5094|
