 | university_name | x_coor  | y_coor |
| - | - | - | 
|Ghent University|3.72|51.05|
|Inner Mongolia University|111.15|40.51|
|Northwest University Xi'an|108.74|34.27|
|Southwest Jiaotong University|104.20|30.67|
|Yangzhou University|119.42|32.39|
|China University of Political Science & Law|116.37|39.50|
|China-Japan Friendship Hospital|116.47|39.93|
|Southern Federal University|41.63|45.03|
|Changchun University|125.35|43.88|
|University of Amsterdam|4.89|52.36|
|National Institute of Advanced Industrial Science & Technology (AIST)|136.11|35.53|
|Zhejiang University of Technology|120.22|30.19|
|Henan University|113.63|34.76|
|Xi'an University of Posts & Telecommunications|108.94|34.28|
|Southwest Petroleum University|29.47|105.59|
|North Minzu University|-109.86|36.17|
|Shaanxi University of Science & Technology|
