 | University_name | x_coor | y_coor | 
| :-: | :-: | :-: |
|National Institute for Nutrition & Health Chinese Center for Disease Control & Prevention |116.80058|39.89074|
|Universidad de los Andes (Colombia)|?|?|
|National Ageing Research Institute |144.9631|-37.8136|
|Main Astronomical Observatory of NASU|30.5167 |50.4333|
|General Atomics & Affiliated Companies|?|?|
|Almaarefa University|?|?|
|Oxford University Hospitals NHS Foundation Trust|?|?| 
|Central Taiwan University Science & Technology|?|?|
|Agenzia Spaziale Italiana (ASI)|12.4942|41.8247|
|Mendel University in Brno |16.61667 |49.21667|
|National Metrology Institute of South Africa (NMISA)|28.22944|?|
|Forestry & Forest Products Research Institute - Japan|139.0197 |35.7304|
|Shahid Beheshti University Medical Sciences|35.8229|51.4536|
|Mashhad University Medical Science|59.61667|36.26667|
|Zahedan University of Medical Sciences|60.8833|29.5|
|Aksaray University|33.25|38.3833|
|University of Wroclaw|17.03333|51.10889|
|National Acoustic Laboratories|-33.8871|151.2117|
|Istituto Nazionale di Ricerca Metrologica (INRIM)|7.68722|45.06972|
|Mines Saint-Etienne|4.33333|45.43333|
|BIBA - Bremer Institut fur Produktion & Logistik|8.80972|53.0775|
|Murdoch Children's Research Institute|144.96869|-37.80423|
|Pacific University|?|?|
|National Institute of Parasitic Diseases Chinese Center for Disease Control & Prevention|116.80058|39.89074|
