 | university_name| x_coor| y_coor|
| :-: | :-: | :-: |
| Scientific & Technological Center of Unique Instrumentation of the Russian Academy of Sciences| 55.6978| 37.5007|
|Bank of Montreal|45.5034|-73.5816|
|University of Arkansas Fort Smith|35.3707|-94.3692|  
|British Columbia Institute of Technology|49.2017|-122.9265|
|Lite-On Technology Corp|25.1049|121.5775|
|Monmouth College|40.9197|-90.6673|
|Air Liquide|48.9515|2.2263|
|Wuhan Donghu University|30.5979|114.2794|  
|Gandhigram Rural Institute|10.9845|77.6283|
| Technical University Zvolen|48.5811|19.1420|
|University of Public Service|47.4982|19.0792|
|Dolby Laboratories Inc.|37.7885|-122.4012|
|Anhui University of Chinese Medicine|31.8757|117.2824|  
|Nanjing General Hospital|32.0681|118.7962|
|Rutgers State University Medical Center|40.5064|-74.4476|
|Charles Sturt University|31.7194|-68.6022|
|Future University Hakodate|42.0085|140.7328|  
|Nanjing Sport Institute|32.0345|118.8068| 
|Universite de Jijel|36.8256|5.7489|    
|Oslo Metropolitan University (OsloMet)|59.9154|10.7456| 
|Rizhao Polytechnic|35.4288|119.4621|
|UOC Universitat Oberta de Catalunya|41.3947|2.1134|
|Nanyang Polytechnic|1.3521|103.6808|
|Loma Linda University|34.0483|-117.2888|
|Kunming General Hospital|25.0436|102.7114|
|LNM Institute of Information Technology|23.1883|77.4258|
|Laurentian University|46.4944|-80.9969|
|Saab Group|58.3833|15.5|
|Max Born Institute for Nonlinear Optics & Short Term Spectroscopy|52.6647|13.4074| 
|SUNY New Paltz|41.7443|-74.0855|  
|Slovak University of Technology Bratislava|48.1577|17.1018|
|National Institute of Technology Rourkela|22.2572|84.8411|
|National Wildlife Research Centre - Canada|45.4020|-75.6703|  
|Canadian Wildlife Service|45.4111|-75.7048| 
|Kazan National Research Technological University|55.8072|49.1217|
|Avinashilingam University for Women|11.0386|77.5168|     
|Hochschule Offenburg|48.4934|7.8688|  
|Harvey Mudd College|34.1389|-117.7119|
|Kurnakov Institute of General & Inorganic Chemistry of the Russian Academy of Sciences|55.7541|37.6210|
|Keldysh Institute of Applied Mathematics|55.6155|37.5263|
|Chicago Medical School|41.8750|-87.6658|  
|Rosalind Franklin University Medical & Science|42.1036|-88.0076|
|Centre de Recherche Paul Pascal|44.8269|-0.5715|
|Ailamazyan Program Systems Institute of RAS|55.5914|37.6204|  
|Okazaki Institute for Integrative Bioscience (OIIB)|34.8640|137.1832|  
|V.A. Trapeznikov Institute of Control Sciences Russian Academy of Sciences|55.7599|37.6315|
|Childrens Hospital of Philadelphia|39.9586|-75.1741|
|Gazi University|39.9256|32.8368|
|Ermaksan Makina Sanayi ve Ticaret A.S. (Ermaksan Makina)|41.0177|28.9752|
|University of Puerto Rico Medical Sciences Campus|18.4501|-66.0654|
