 | university_name| x_coor     | y_coor   |  
|-|-|-|  
|United States Department of Energy (DOE)|   -77.0433|  38.8822 |
|National Institute of Informatics (NII) - Japan |139.7613| 35.7143| 
|Research Organization of Information & Systems (ROIS) |139.7682|35.6636| 
|Temple University |-75.15031|39.99756|
|Queen Mary University London| -0.06635 |   51.5149|
|Bowling Green State University |-83.62432| 41.3759|
|University System of Ohio  | -82.99524|40.0996|
|Fujian Institute of Research on the Structure of Matter CAS |119.2848  | 26.0891|
|Biotechnology Research Institute CAAS|-116.3359  |  39.7301|
|Meijo University |136.9132 |  34.8524|  
|University of Washington Seattle  |-122.3062 | 47.6550|
|University of Washington  | -122.3016|    47.6552|   
|Institute of Microbiology CAS   | 116.3562|   39.9368|    
|Idaho  |-114.3533|   43.4239|        
|University of Idaho  |-117.0202  | 46.7264| 
|Institute of Electrical Engineering CAS |116.3815 | 39.8632|
|Institute of Medicinal Plant Development - CAMS |116.1257 |39.8659 |
|Mae Fah Luang University  |  99.2679|   19.9192|
|Institute of Coal Chemistry CAS |117.2892  |  42.2753|
|University of Texas Dallas| -96.7942| 32.9866|
|University of Memphis |-89.9765|   35.1186|
|Institute of Information Engineering CAS |116.3206 |   39.8766|
|University of Manchester |-2.2343|  53.4643|
|Shenzhen Institute of Advanced Technology CAS| 114.0517 |  22.5457|
|Ohio State University  | -83.0185|  40.0011|
|University of Illinois Urbana-Champaign|-88.2271|    40.0964|       
|University of Illinois System   |-88.2271| 40.0964|
|RLUK- Research Libraries UK|-0.123  | 51.510|  
|Shenzhen Research Institute City University of Hong Kong |114.0893|22.5459|
|Innovation Academy for Microsatellites CAS |116.2086|40.0423| 
|Massachusetts General Hospital   |-71.1056  |42.3629|  
|University of California Merced |-120.4357  |37.3723|
|Institute of Chemistry CAS |116.409 | 40.0244|
|University of Minnesota Twin Cities|-93.2318| 44.9733|
|University of Minnesota System|-93.2318  | 44.9733|
|National Space Science Center CAS|116.2087|40.0026 |
|Institute of Automation CAS |116.3246 |39.9886|
|Chinese Academy of Fishery Sciences |116.288|39.9276|
|Fishery Engineering Research Institute CAFS|116.2311 | 39.8747|
|Institute of Applied Physics & Computational Mathematics - China |  116.434 |  39.967|
|China Nuclear Power Engineering Co Ltd. |116.4406 |39.9088|
|University of Bristol|-2.6014 |51.4551| 
|University of West England|-2.5921 |51.4563 |
|Xi'an Technological University |108.9479|34.2615|
|Lenovo |116.3238|39.9094|
|Legend Holdings|116.441|39.9234 |
|University of Cincinnati|-84.5161|39.1326|  
|University of Texas at San Antonio (UTSA) |-98.5942|29.5267| 
|Shenyang Institute of Automation CAS |123.421|41.793|  
|California State University System |-119.69 | 36.3422|
