 Here is the list of nations for the given universities and institutes:

Luxembourg Institute of Science & Technology	Luxembourg 
Agriculture & Agri Food Canada	Canada
Instituto de Investigaciones Biologicas Clemente Estable Uruguay	Uruguay
Mackay Medical College	Australia
Ajinomoto Co Inc	Japan
University of Lubeck	Germany
Institut National Polytechnique de Toulouse	France
National Institute of Genetics (NIG) - Japan	Japan
Research Institute for Neurosciences & Medicine	Switzerland
Spaulding Rehabilitation Hospital	United States
DePaul University	United States
Johann Heinrich von Thunen Institute	Germany 
University of Ibadan	Nigeria
Roehampton University	United Kingdom
Universidad Costa Rica	Costa Rica
Kansas State University	United States
University of Fort Hare	South Africa
Rhodes University	South Africa
Mansoura University	Egypt
Teikyo University	Japan
US Food & Drug Administration (FDA)	United States
Royal Infirmary of Edinburgh	United Kingdom
NIH National Institute of Neurological Disorders & Stroke (NINDS)	United States
Medical University of Vienna	Austria
Konkuk University	South Korea
Toronto General Hospital	Canada
Helmholtz-Zentrum Geesthacht - Zentrum fur Material- und Kustenforschung	Germany
Jan Kochanowski University	Poland
Universite de M'sila  	Algeria
China Railway Construction Corporation	China
Ministry of Justice - Egypt	Egypt 
Komsomolsk-na-Amure State University	Russia
Wright State University Dayton	United States
Oles Honchar Dnipro National University	Ukraine
NITEC University   	India
SUNY Fredonia	United States
Polytechnic University of Bucharest	Romania
Shandong Management University	China
Universidad de Cuenca	Ecuador
Bashkir State Agrarian University	Russia
Defence Science & Technology	Australia
Institute of Technical Chemistry of the Ural Branch RAS	Russia
Kostroma State University 	Russia
Moscow State University of Food Production	Russia
University of Zagreb	Croatia
CSIC - Institut de Robotica i Informatica Industrial (IRII)	Spain
Kennesaw State University	United States
Le Mans Universite  	France
Nuclear Materials Authority (NMA)  	Egypt
Linnaeus University 	Sweden
Pacific Geographical Institute of the Far Eastern Branch of the Russian Academy of Sciences	Russia
Pukyong National University	South Korea
Diponegoro University	Indonesia
University of Craiova  	Romania
Kurdyumov Institute of Metal Physics	Ukraine
Institute of Mathematics of the Romanian Academy	Romania
CIC Energigune	Spain
Pennsylvania Medicine	United States 
Gakushuin University	Japan
Chinese Academy of Surveying & Mapping	China
Guangzhou Marine Geological Survey	China
Brandon University	Canada
GH Asachi Technical University	Romania 
Northern Arctic Federal University  	Russia
Cherkas Global University	Ukraine
Universite de Tunis-El-Manar	Tunisia
Zhaotong University 	China
Rikkyo University	Japan
Qingdao Institute of Marine Geology (QIMG)	China
Ajman University	United Arab Emirates
Tokyo Medical & Dental University (TMDU)	Japan
Russian State Vocational Pedagogical University	Russia
Criminal Investigation Police University of China	China
China Iron & Steel Research Institute Group	China
Democritus University of Thrace	Greece
Abdus Salam International Centre for Theoretical Physics (ICTP)	Italy
Guilin Medical University	China
National Agriculture & Food Research Organization - Japan  	Japan 
ABB	Switzerland
Suzhou University	China
Irkutsk State University	Russia
National University of Mongolia	Mongolia
ESSEC Business School	France
WSB University	Poland
Zhongguancun Laboratory	China
Feed Research Institute CAAS  	China
National Institute of Aeronautics & Space of Indonesia (LAPAN)	Indonesia
Qihoo 360 Technology	China
XLRI -Xavier School of Management	India
Claremont Graduate School	United States
Birkbeck University London	United Kingdom
University of London School Oriental & African Studies (SOAS)	United Kingdom
National Center for Chronic & Noncommunicable Disease Control & Prevention Chinese Center for Disease Control & Prevention  	China
Institute of BioMedical Engineering - CAMS	China
Kaunas University of Technology	Lithuania
National Marine Environmental Monitoring Center	China  
Universidad Nacional de Colombia 	Colombia
Bashkir State Medical University	Russia
Institut d'Etudes Politiques Paris (Sciences Po)	France
Samara Scientific Center of the Russian Academy of Sciences	Russia
University of Oklahoma Health Sciences Center	United States
Grenoble Ecole Management	France
Guangzhou Institute of Geography Guangdong Academy of Sciences	China
Shougang Group	China
Nanjing Normal University of Special Education	China
GlobalFoundries	United States
