 Finnish Geospatial Research Institute (FGI)	Finland
Universidad Santiago de Cali	Colombia 
Nigde Omer Halisdemir University	Turkey
Total SA	France
CSIC - Instituto de Ciencias del Espacio (ICE)	Spain
Wroclaw University of Science & Technology 	Poland
ST Engineering	Singapore
Tennessee State University	United States
Marine Biological Laboratory - Woods Hole	United States
Hubei Normal University	China
Istituto Nazionale Geofisica e Vulcanologia (INGV)	Italy
Founder Group	China
Fondazione Mattei	Italy
Physical Research Laboratory - India	India
International Advanced Research Centre for Powder Metallurgy & New Materials (ARCI)	India
A*STAR - Advanced Remanufacturing & Technology Centre (ARTC)	Singapore
University of Kragujevac	Serbia
Zhejiang Provincial People's Hospital	China
Culham Science Centre	United Kingdom
Baotou Medical College	China
Deere & Company	United States
Bioland Lab	China
Guangzhou Laboratory	China
Massachusetts Eye & Ear Infirmary	United States
Paul Drude Institute for Solid State Electronics	Germany
Leibniz Institut fur Photonische Technologien	Germany
Misan University	Iran
Dalton State College	United States
Australian Defense Force Academy	Australia 
Kunming Institute of Zoology	China
Hans Knoll Institute (HKI)	Germany
Spotify	Sweden
University of Tulsa	United States
Institute of Physics - Polish Academy of Sciences	Poland
Changchun Automobile Industry Institute	China
Israel Electric	Israel
NewYork-Presbyterian Hospital	United States
University of Salerno 	Italy
CINECA Italy	Italy
Istituto di Bioimmagini e Fisiologia Molecolare (IBFM-CNR)	Italy
Accenture	Ireland
National Office for Aerospace Studies & Research (ONERA)	France
University of Pecs	Hungary
Belgian Nuclear Research Centre (SCK-CEN)	Belgium
Institute of Basic Research In Clinical Medicine CACMS	China
Central Metallurgical Research & Development Institute (CMRDI)	India
Japan Fine Ceramics Center	Japan
Netaji Subhas University of Technology	India 
Texas Instruments	United States
University of Derby	United Kingdom
ANZAC Research Institute	Australia
Universite d'Artois	France
Samara Federal Research Scientific Center 	Russia
Bangladesh Rural Advancement Committee BRAC	Bangladesh
Gdansk University of Technology	Poland
Netherlands National Institute for Public Health & the Environment	Netherlands
Moorfields Eye Hospital NHS Foundation Trust	United Kingdom
Manhattan College	United States
Xiamen Institute of Technology	China
European Organisation for the Exploitation of Meteorological Satellites	Europe
Weill Cornell Medicine	United States
Xinjiang Agricultural University	China
Leuphana University Luneburg	Germany
IMT Nord Europe	France
Langston University	United States
Defence University	India
National Taipei University of Business	Taiwan
National College of Ireland	Ireland
Yildiz Technical University	Turkey
Karunya Institute of Technology & Sciences	India
NERC National Centre for Atmospheric Science	United Kingdom
Universite Paris 13	France
Swinburne University of Technology Sarawak	Malaysia
Federal Research Center Computer Science & Control of RAS 	Russia
Dorodnitsyn Computing Centre RAS	Russia
Louisiana State University School of Veterinary Medicine	United States
ASML Holding	Netherlands
Centro Nacional de Investigaciones Metalurgicas (CENIM)	Spain
Gusu Laboratory	China
Newton Wellesley Hospital	United States  
Russian Quantum Center	Russia
Institute of Semiconductors Guangdong Academy of Sciences	China
CIBER - Centro de Investigacion Biomedica en Red	Spain
CIBERBBN	Spain
University of Waikato	New Zealand
The World Bank	United States 
University of Navarra	Spain
Justus Liebig University Giessen	Germany
West Pomeranian University of Technology	Poland
Wuyi University Fujian	China
Great Ormond Street Hospital for Children NHS Foundation Trust	United Kingdom 
University of Southern Mississippi	United States
Institute of Ion-Plasma & Laser Technologies Named After U.A. Arifov Uzbekistan
Vitreous Retina Macula Consultants of New York	United States
Korea Institute of Energy Research (KIER)	South Korea
Institute of Information Theory & Automation of the Czech Academy of Sciences	Czech Republic
College of Staten Island (CUNY)	United States
University of Western Macedonia	Greece
Krasnoyarsk Science Center of the Siberian Branch of the Russian Academy of Sciences	Russia
Leibniz Institut fur Polymerforschung Dresden	Germany
Institute of Plasma Physics of the Czech Academy of Sciences	Czech Republic
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)	Russia
Serbian Academy of Sciences & Arts	Serbia
National Research Foundation - South Africa  	South Africa
Shenzhen International Institute for Biomedical Research	China
Institute of Space & Astronautical Science (ISAS)	Japan
Africa Health Research Institute  	South Africa
Space Research Institute of the Russian Academy of Sciences	Russia
Institut Superieur de l'Aeronautique et de l'Espace (ISAE-SUPAERO)	France
Assistance Publique Hopitaux Paris (APHP)	France
California Polytechnic State University San Luis Obispo	United States
Princess Sumaya University for Technology	Jordan
Korea Electrotechnology Research Institute (KERI)	South Korea
Korea Atomic Energy Research Institute (KAERI)	South Korea
Institute of Laboratory Animal Science - CAMS	China
Sefako Makgatho Health Sciences University	South Africa
Uzhgorod National University	Ukraine
Comenius University Bratislava	Slovakia
CSIR - National Physical Laboratory (NPL)	India
Agriculture Genomes Institute at Shenzhen CAAS	China
Northern Technical University  	Russia 
South China Botanical Garden CAS	China
Italian National Agency New Technical Energy & Sustainable Economics Development	Italy 
University of South Bohemia Ceske Budejovice	Czech Republic
Defence Metallurgical Research Laboratory (DMRL)	India
Defence Research & Development Organisation (DRDO)	India 
Indian Institute of Technology (IIT) - Indore	India
Rochester Institute of Technology	United States
German Center for Infection Research	Germany
University of North Carolina Greensboro	United States
A*STAR - Institute of Sustainability for Chemicals Energy & Environment (ISCE2)	Singapore
Shanghai Institute of Nutrition & Health CAS	China
Fermi National Accelerator Laboratory	United States
Jesse Brown VA Medical Center	United States
Gubkin Russian State University of Oil & Gas	Russia
California State University East Bay	United States
National Cancer Centre Singapore (NCCS)	Singapore
Istituto dei Sistemi Complessi (ISC-CNR)	Italy
James A. Haley Veterans Hospital	United States
Azienda Ospedaliera Universitaria Integrata Verona	Italy
Catholic University of Daegu	South Korea
Irkutsk Science Centre of the Russian Academy of Sciences	Russia
Institute of Solar-Terrestrial Physics of the Siberian Branch of the Russian Academy of Sciences	Russia
Pulkovo Observatory	Russia
Banaras Hindu University (BHU)	India
Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi)	India
Southern Connecticut State University	United States 
Connecticut State University System   United States
Institute of Biological & Medical Engineering Guangdong Academy of Sciences	China
BIBA - Bremer Institut fur Produktion & Logistik	Germany
Faculdade de Medicina do ABC 	Brazil
