 Here is the list of universities/institutes and their corresponding nations in tsv format:

University of Pitesti	Romania
Universitas Katolik Widya Mandala Surabaya	Indonesia
University Central Missouri	United States
El Colegio de la Frontera Sur (ECOSUR)	Mexico
Denver Health Medical Center	United States
Instituto de Ciencia de Materiales de Sevilla (ICMS-CSIC)	Spain
University of Malaysia Sarawak	Malaysia
Oil Crops Research Institute CAAS	China
Periyar University	India 
Mohammed VI Polytechnic University	Morocco
Centre of Molecular & Macromolecular Studies of the Polish Academy of Sciences	Poland
Cadi Ayyad University of Marrakech	Morocco
Queens College NY (CUNY)	United States
ESCP Business School	France
Hopital Universitaire Tenon - APHP	France
Rudjer Boskovic Institute 	Croatia
Nippon Telegraph & Telephone Corporation	Japan
Xinjiang Academy of Animal Sciences	China
VA North Texas Health Care System	United States
University of Wuppertal	Germany
Yangtze River Fisheries Research Institute CAFS	China
National University of La Plata	Argentina
Centre Hospitalier Universitaire Vaudois (CHUV)	Switzerland
Ordu University	Turkey
CIBERNED	Spain
Instituto de Salud Carlos III	Spain
Motilal Nehru National Institute of Technology	India
Smithsonian National Zoological Park & Conservation Biology Institute	United States
Leibniz Institut fur Evolutions und Biodiversitatsforschung	Germany
Adyghe State University	Russia
Russian Presidential Academy of National Economy & Public Administration	Russia
Buryat State University	Russia
Institute of Tibetan Plateau Research CAS	China
Canadian Institute for Advanced Research (CIFAR)	Canada
Helmholtz Center for Environmental Research (UFZ)	Germany
Smithsonian National Museum of Natural History	United States
University of Wisconsin Green Bay	United States
International Livestock Research Institute (ILRI)	Kenya
Institute for Agricultural Research Samaru Zaria	Nigeria
Henan Academy of Agricultural Sciences	China
Anhui Academy of Agricultural Sciences	China
ASUSTek Computer	Taiwan
Istanbul Medipol University 	Turkey
Ozyegin University	Turkey
Instituto Politecnico do Cavado e do Ave - IPCA	Portugal
Children's National Health System	United States
Ankang University	China
Swedish Museum of Natural History	Sweden
AIMST University	Malaysia
CSIC-UPF - Institut de Biologia Evolutiva (IBE)  	Spain
Institut Catala de Paleontologia Miquel Crusafont (ICP)	Spain
Centre de Regulacio Genomica (CRG)	Spain
Pompeu Fabra University	Spain
Shenzhen Eye Hospital	China
Zoological Society of San Diego	United States
National Institute for Basic Biology (NIBB)	Japan
Sakarya University	Turkey
Indian Institute of Technology (IIT) - Dharwad	India
Bilecik Seyh Edebali University	Turkey
University of Peradeniya	Sri Lanka
Uva Wellassa University	Sri Lanka
Field Museum of Natural History (Chicago)	United States
Research Institute of Tropical Forestry CAF	China
Tata Sons	India
Tata Consultancy Services Limited (TCS)	India
Boeing	United States
TOBB Ekonomi ve Teknoloji University	Turkey 
Institute of Plant & Animal Ecology of the Russian Academy of Sciences	Russia
University of Venda	South Africa
Institute of Geography Russian Academy of Sciences	Russia
South Australian Museum	Australia
Gustave Roussy	France
Hopital Universitaire Saint-Louis - APHP	France
Stavanger University Hospital	Norway
Haukeland University Hospital	Norway
Hopital Universitaire Saint-Antoine - APHP	France
Banner Sun Health Research Institute	United States
National Institute of Technology Tiruchirappalli	India
