 University of Puerto Rico Medical Sciences Campus	Puerto Rico
Kazan Federal University	Russia
Second Institute of Oceanography (SIO)	China
Leibniz Institut fur Analytische Wissenschaften (ISAS)	Germany
Shirley Ryan AbilityLab	United States
Jeol Ltd	Japan
JEOL Japan	Japan
Sher-e-Bangla Agricultural University (SAU)	Bangladesh
California State University Sacramento	United States
University of North Dakota Grand Forks	United States
Institute of Physiology of the National Academy of Sciences of Belarus	Belarus
Soran University	Iraq
Leibniz Institut fur Sozialwissenschaften (GESIS)	Germany
Quy Nhon University  	Vietnam
Nagoya University of Commerce & Business	Japan
Alagappa University	India
University Nacional de Ingenieria Lima	Peru 
Foshan Xianhu Laboratory	China
Stephan Angeloff Institute of Microbiology Bulgarian Academy of Sciences	Bulgaria
University of Banja Luka (UNIBL)	Bosnia and Herzegovina
Sebha University	Libya
Shandong University of Art & Design	China
Thiagarajar College	India
US Navy Naval Air Systems Command	United States
Safran S.A.  	France
Zhejiang Institute of Economics & Trade	China
Bhabha Atomic Research Center (BARC)	India
Xinjiang Astronomy Observatory NACO CAS	China
Institute of Batteries LLC	United States
Simmons University	United States
Columbus State University	United States
Central University of Haryana	India
Indian Institute of Technology (Indian School of Mines) Dhanbad	India
The Northcap University	India 
Coimbatore Institute of Technology	India
Sam Houston State University	United States
Renesas Electronics Corporation 	Japan
Adnan Menderes University	Turkey
Mustansiriya University	Iraq
Samsung Electro-Mech	South Korea
SANY	China
Baicheng Normal University	China
Mie University	Japan
Netherlands Cancer Institute	Netherlands
Centro Atomico Bariloche	Argentina
Mount Royal University	Canada
Ningbo City College of Vocational Technology	China
Affiliated Hospital of Jiangxi University of Traditional Chinese Medicine	China
Symbiosis Institute of Technology (SIT)	India
Universidad Central del Ecuador	Ecuador
Zhejiang Academy of Agricultural Sciences	China
University of Information Technology & Management Rzeszow	Poland
Nissan Motor Company	Japan
Saga University	Japan
Institute of Computer Science of the Polish Academy of Sciences	Poland
Ivanovo State University	Russia
Hydro-Quebec	Canada
Universitas Pattimura	Indonesia
Centurion University of Technology & Management	India 
NASA Glenn Research Center	United States
Obihiro University of Agriculture & Veterinary Medicine 	Japan
Spallation Neutron Source	United States
Istituto di Ricerca su Innovazione e Servizi per lo Sviluppo (IRISS-CNR)	Italy
Madurai Kamaraj University	India
Peter Doherty Institute	Australia
