 Guglielmo Marconi University	Italy
University of Texas School Public Health	United States
Hautes Etudes Commerciales (HEC) Paris	France
Hamad Medical Corporation	Qatar 
National Institute of Technology Patna	India
Universidade Federal de Lavras	Brazil
Sodertorn University	Sweden
CSIC - Instituto de Ciencias de la Construccion Eduardo Torroja (IETCC)	Spain
Institute of Thermomechanics of the Czech Academy of Sciences	Czech Republic
Abant Izzet Baysal University	Turkey
Shenzhen Traditional Chinese Medicine Hospital	China
Amrita Vishwa Vidyapeetham Coimbatore	India
Amrita Vishwa Vidyapeetham  	India
West Chester University of Pennsylvania	United States
Nokia Finland	Finland
Global Institute for Water Security	Canada
Yasouj University	Iran
Czech University of Life Sciences Prague	Czech Republic
Poznan University of Life Sciences  	Poland
DAV University Jalandhar	India
Punjab Engineering College (Deemed University)	India 
Kaohsiung Medical University Hospital	Taiwan
Unitec NZ	New Zealand
Karabuk University	Turkey
Westminster International University Tashkent	Uzbekistan
eBay Inc.	United States
HOGENT University College of
