Country pair,Count
China-China,93338
China-United States,12375
United States-United States,8582
China-United Kingdom,5797
Australia-China,4312
China-Hong Kong,3524
China-Singapore,3262
Canada-China,3096
China-Germany,2522
China-Japan,2443
United Kingdom-United Kingdom,2190
Singapore-Singapore,2052
China-France,1963
France-France,1620
China-Pakistan,1552
China-UK,1270
China-South Korea,1234
China-Italy,1039
Australia-Australia,954
China-Russia,927
China-Taiwan,880
China-Sweden,853
Germany-Germany,833
China-Saudi Arabia,811
UK-United Kingdom,776
China-Netherlands,744
China-Spain,739
Hong Kong-Hong Kong,712
Japan-Japan,685
China-India,671
China-Denmark,602
China-Macau,565
United Kingdom-United States,543
UK-UK,541
Belgium-China,537
Canada-Canada,524
Pakistan-Pakistan,486
China-Switzerland,446
Australia-United States,405
China-New Zealand,398
Hong Kong-United States,381
Russia-Russia,366
Switzerland-Switzerland,357
China-Finland,346
Germany-United States,345
India-India,341
China-Egypt,320
Singapore-United States,318
Japan-United States,309
Spain-Spain,297
Italy-Italy,295
Taiwan-Taiwan,293
China-Israel,283
Egypt-Egypt,280
China-Norway,279
China-Ireland,267
China-Malaysia,263
South Korea-United States,263
Canada-United States,261
China-Iran,257
China-Poland,250
China-Czech Republic,241
Germany-United Kingdom,236
Australia-United Kingdom,235
South Korea-South Korea,234
France-United States,228
China-South Africa,206
China-Turkey,204
Austria-China,187
Pakistan-Saudi Arabia,185
China-Portugal,178
Saudi Arabia-Saudi Arabia,178
Australia-Singapore,176
China-Vietnam,174
Australia-Japan,166
Italy-United States,162
China-United Arab Emirates,160
Australia-Hong Kong,158
Brazil-China,155
China-Qatar,154
Hong Kong-United Kingdom,151
Canada-United Kingdom,142
Netherlands-Netherlands,139
China-Greece,138
France-United Kingdom,137
Belgium-Belgium,135
Japan-United Kingdom,134
Hong Kong-Singapore,134
Singapore-United Kingdom,130
UK-United States,129
France-Germany,128
Germany-Japan,126
Sweden-Sweden,121
Algeria-China,118
Taiwan-United States,118
Japan-South Korea,117
China-Thailand,115
France-Italy,115
Sweden-United States,113
Spain-United States,112
Switzerland-United States,108
Netherlands-United States,103
China-Romania,101
Australia-South Korea,99
Finland-Finland,98
Chile-China,98
Australia-Germany,97
Russia-United States,95
Saudi Arabia-United Kingdom,95
China-Slovenia,95
China-Nigeria,94
Saudi Arabia-United States,91
Germany-Italy,90
Qatar-Qatar,89
Czech Republic-Czech Republic,88
Italy-United Kingdom,86
Hong Kong-Japan,85
India-United States,83
China-Ukraine,80
Canada-Germany,79
China-Estonia,78
Germany-Hong Kong,76
Egypt-Saudi Arabia,74
Ukraine-Ukraine,74
China-Mexico,73
Vietnam-Vietnam,73
China-Iraq,72
Spain-United Kingdom,72
Germany-Netherlands,70
Bangladesh-China,69
Canada-Hong Kong,69
Australia-Canada,69
Macau-Macau,68
Denmark-Denmark,68
India-United Kingdom,68
Pakistan-United Kingdom,67
Germany-Russia,67
Poland-Poland,66
China-Hungary,66
France-Japan,66
Portugal-Portugal,65
Finland-United States,65
Germany-Switzerland,64
Belarus-China,63
Germany-Singapore,63
Pakistan-South Africa,63
Germany-Sweden,62
Belgium-United Kingdom,62
Germany-South Korea,61
Macau-United States,61
Iran-Iran,60
Germany-India,59
Denmark-United States,59
Canada-Singapore,58
Canada-France,58
Netherlands-United Kingdom,58
Nigeria-Pakistan,58
Taiwan-United Kingdom,57
South Africa-South Africa,57
Russia-United Kingdom,57
Czech Republic-United States,57
South Korea-United Kingdom,56
India-Saudi Arabia,56
Italy-Spain,55
Australia-France,55
France-Russia,54
France-South Korea,54
Israel-Israel,53
Malaysia-Malaysia,53
Italy-South Korea,53
France-Spain,53
Japan-Singapore,52
Hong Kong-Switzerland,52
Switzerland-United Kingdom,52
Germany-Taiwan,52
Pakistan-United States,51
Israel-United States,51
Germany-Spain,50
Denmark-Singapore,50
Nigeria-South Africa,50
Belgium-Estonia,50
Italy-Japan,49
Belgium-United States,49
China-Korea,49
China-Cyprus,48
Germany-UK,48
Hong Kong-South Korea,47
Sweden-United Kingdom,47
New Zealand-New Zealand,46
South Korea-Taiwan,46
Italy-Russia,46
Qatar-United States,45
France-Sweden,45
Japan-Spain,45
Japan-Russia,45
Singapore-Sweden,44
Singapore-South Korea,44
Japan-Taiwan,44
India-South Korea,44
Australia-Italy,44
Australia-UK,44
Canada-South Korea,43
China-Luxembourg,43
Australia-Netherlands,43
Hong Kong-Macau,43
Denmark-Germany,43
Turkey-Turkey,42
Denmark-Sweden,42
Canada-Japan,42
Italy-Sweden,41
China-Indonesia,40
Slovenia-Slovenia,40
Ireland-Ireland,40
Austria-United Kingdom,40
India-Taiwan,40
India-Russia,40
Hong Kong-Sweden,39
Pakistan-South Korea,39
Australia-Saudi Arabia,39
Australia-Russia,39
Australia-Switzerland,39
France-Singapore,39
Australia-Sweden,38
India-Pakistan,38
Brazil-United States,38
Malaysia-Pakistan,37
China-Kazakhstan,37
Australia-Taiwan,37
Japan-UK,37
Poland-United States,37
Canada-Israel,37
Australia-Malaysia,36
Canada-Saudi Arabia,36
Denmark-France,36
Canada-UK,36
China-Lebanon,36
China-Ecuador,35
Denmark-United Kingdom,35
Brazil-United Kingdom,35
Turkey-United States,35
Canada-Netherlands,35
France-India,35
Canada-Sweden,34
New Zealand-United States,34
Ireland-United Kingdom,34
China-Tunisia,34
Turkey-United Kingdom,34
Austria-Germany,34
Japan-Saudi Arabia,34
Norway-United States,34
Mexico-Spain,34
Singapore-Taiwan,34
France-UK,34
Egypt-Pakistan,34
Brazil-Brazil,33
Belgium-Netherlands,33
Australia-Macau,33
Australia-Denmark,33
France-Hong Kong,33
Hong Kong-Taiwan,33
Japan-Netherlands,33
Russia-Spain,33
Malaysia-Saudi Arabia,33
Saudi Arabia-Taiwan,33
