Id,Label,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
1,Ministry of Education China,0.07096520542559466,0.5183939671863854,0.0008672279315414564,0.00812894822541542
2,Beijing Institute of Technology,0.5502260664438766,0.6897627118644067,0.1637525475381109,0.030067383452665113
3,Ministry of Science and Technology China,0.0011794770984863377,0.4591984112655714,5.551529438420646e-07,0.0002638652261723889
4,Tencent,0.03086298407705917,0.5078366776479984,0.00011808634356012964,0.004496232532911411
5,Sinopec,0.011991350501277767,0.5030159201028379,0.00010321060922867513,0.0016753804890813069
6,China Telecom Corp. Ltd.,0.0035384312954590135,0.4574640287769784,1.5512488309062814e-07,0.000606454014700955
7,RIKEN,0.1631609986239434,0.5444135273972602,0.0009076653705412108,0.03989889961208298
8,Bryant University,0.0005897385492431689,0.44192511510728866,0.0,0.00011697600088088232
9,Weichai Power Co. Ltd.,0.0029486927462158445,0.474489320026117,1.870421365637153e-05,0.00038825824871341406
10,SAIC Motor,0.0017692156477295067,0.46975713362267985,3.053336428526966e-08,0.0003739046533539388
11,China Merchants Bank,0.0013760566149007274,0.4704087294248197,4.4770175544088677e-07,0.00020402998212084038
12,Chinese Academy of Sciences,0.46609003341851785,0.6519287453543509,0.043606179387396894,0.043971503108651146
13,Jamia Millia Islamia,0.0035384312954590135,0.4709749097305805,5.527414399522935e-05,0.00028449003301909704
14,Washington University (WUSTL),0.05405936701395715,0.5138902919486816,0.00033011575801093464,0.007998613455850286
15,Jinan University,0.07528995478671123,0.5195587784700235,0.0008574789355526455,0.008390163610695622
16,Chinese Academy of Engineering Physics,0.07627285236878317,0.5198242387083589,0.0005786953109765789,0.008161737133804801
17,China People's Police University,0.003931590328287792,0.4584534967555876,1.2569199288310193e-05,0.0003799186362156488
18,Beihang University,0.5378415569097701,0.6839204087120193,0.1367346087593936,0.03150337435422052
19,North China Electric Power University,0.052683310399056424,0.5135271552594387,0.0003604848791137062,0.006592122938502928
20,Cornell University,0.14723805779437785,0.53973474801061,0.0004474291086304913,0.03949306208981909
21,Delft University of Technology,0.050127776685669354,0.5128541183587055,0.00052305072785471,0.0072484676732967055
22,University of Science & Technology Beijing,0.10752899547867113,0.5284096811052249,0.0012714723657918131,0.011388200421360703
23,Guangxi University,0.03400825633968941,0.5086491350864913,0.00027034395637862466,0.003980076443698315
24,Tsinghua University,0.2976213878513859,0.5874133949191686,0.010019600040656686,0.0423751192185448
25,University of Gottingen,0.1364261843915864,0.5366033755274262,0.000371039373727407,0.03900197915458909
26,Xiamen University,0.19304108511893062,0.5534160139251523,0.0016104071437864221,0.04075219766465536
27,Chang'an University,0.045409868291724005,0.5116162124107412,0.000329985385563119,0.00528972027335031
28,Swinburne University of Technology,0.02594849616669943,0.5065723959370644,9.160017071654004e-05,0.0036784713702988944
29,Northwestern Polytechnical University,0.5421663062708866,0.6859492988133765,0.1368450569565786,0.03146253038923935
30,China Agricultural University,0.035777471987418916,0.5091072858286629,0.00018507700946444037,0.0042103736852097794
31,Royal Institute of Technology,0.05582858266168666,0.5143579373104146,0.0005161370836591614,0.006724640842410214
