Id,Label
1,Ministry of Education China
2,Beijing Institute of Technology
3,Ministry of Science and Technology China
4,Tencent
5,Sinopec
6,China Telecom Corp. Ltd.
7,RIKEN
8,Bryant University
9,Weichai Power Co. Ltd.
10,SAIC Motor
11,China Merchants Bank
12,Chinese Academy of Sciences
13,Jamia Millia Islamia
14,Washington University (WUSTL)
15,Jinan University
16,Chinese Academy of Engineering Physics
17,China People's Police University
18,Beihang University
19,North China Electric Power University
20,Cornell University
21,Delft University of Technology
22,University of Science & Technology Beijing
23,Guangxi University
24,Tsinghua University
25,University of Gottingen
26,Xiamen University
27,Chang'an University
28,Swinburne University of Technology
29,Northwestern Polytechnical University
30,China Agricultural University
31,Royal Institute of Technology
32,King Khalid University
33,Nankai University
34,Southern University of Science & Technology
35,Peking University
36,Shanghai Institute of Technology
37,Yancheng Institute of Technology
38,Lanzhou University
39,Northwestern University
40,University of Hong Kong
41,Shandong Normal University
42,Nanjing University of Science & Technology
43,University of Chicago
44,Bohai University
45,University of Shanghai for Science & Technology
46,Henan Polytechnic University
47,Communication University of Zhejiang
48,University of Delaware
49,Zaozhuang University
50,Shandong University of Science & Technology
51,China National Nuclear Corporation
52,Lanzhou City University
53,North China Institute Science & Technology
54,Clemson University
55,Beijing Technology & Business University
56,Korea University
57,Hong Kong Polytechnic University
58,Ming Chuan University
59,Beijing Institute of Fashion Technology
60,University of Oxford
61,Nanjing University of Finance & Economics
62,Xi'an Jiaotong University
63,Dalian Polytechnic University
64,Academy of Military Medical Sciences - China
65,University of New South Wales Sydney
66,Liaoning University of Technology
67,University of Alberta
68,Hebei University
69,Kyushu University
70,Shenyang Aerospace University
71,University of Sydney
72,Dalian University of Technology
73,Xi'an University of Science & Technology
74,Taiyuan University of Technology
75,China Electronics Technology Group
76,Shanghai University
77,Alibaba Group
78,Minjiang University
79,PLA Information Engineering University
80,Air Force Military Medical University
81,Tiangong University
82,University of the South Pacific
83,Beijing University of Posts & Telecommunications
84,Wageningen University & Research
85,University of Gujrat
86,Cranfield University
87,Beijing University of Chinese Medicine
88,Chengdu University of Traditional Chinese Medicine
89,Hebei Normal University
90,Guangxi Normal University
91,Ningbo University
92,North University of China
93,Capital University of Science & Technology
94,Inner Mongolia Agricultural University
95,Hebei University of Technology
96,National University of Singapore
97,Capital Normal University
98,Harbin Institute of Technology
99,Jiangsu University
100,University of Waterloo
101,Beijing University of Chemical Technology
102,Zhejiang Ocean University
103,Massachusetts Institute of Technology (MIT)
104,Renmin University of China
105,Yanan University
106,Fujian University of Technology
107,Tianjin University
108,City University of Hong Kong
109,University of Glasgow
110,Hefei University of Technology
111,Yuncheng University
112,Hazara University
113,Northeastern University - China
114,Foshan University
115,Sichuan Normal University
116,University of Sharjah
117,National University of Defense Technology - China
118,Max Planck Society
119,Yanshan University
120,Beijing Information Science & Technology University
121,University of Virginia
122,Shanghai Jiao Tong University
123,Aerospace Engineering University
124,Ministry of Public Security (China)
125,Kagawa University
126,Zhengzhou University
127,Chuxiong Normal University
128,Inha University
129,Zhejiang University
130,Villanova University
131,Chengdu University of Information Technology
132,Beijing University of Technology
133,Shenzhen University
134,China University of Petroleum
135,Xi'an Modern Chemistry Research Institute
136,Universitat Siegen
137,Beijing Jiaotong University
138,Huazhong University of Science & Technology
139,China State Construction Engineering Corporation
140,Chiang Mai University
141,Yantai University
142,Cheng Shiu University
143,Hong Kong University of Science & Technology
144,Case Western Reserve University
145,Hong Kong Baptist University
146,Anhui University of Finance & Economics
147,Army Engineering University of PLA
148,Shandong University
149,Jiujiang University
150,Xuzhou University of Technology
151,Harbin University of Science & Technology
152,Aalto University
153,Hangzhou Hikvision Digital Technology Co. Ltd.
154,Sichuan University
155,Beijing Union University
156,Liaoning University
157,Hunan University
158,Jinzhong University
159,Harbin Normal University
160,University of Technology Sydney
161,Nanning Normal University
162,Australian National University
163,China Academy of Safety Science & Technology
164,China University of Mining & Technology
165,University of the Sunshine Coast
166,University of Kiel
167,University of Bonn
168,Chongqing University of Technology
169,Yale University
170,Nanjing University of Posts & Telecommunications
171,Imperial College London
172,University of Canterbury
173,Peng Cheng Laboratory
174,Central South University
175,Tongji University
176,Ibaraki University
177,University of International Business & Economics
178,University of Bath
179,Beijing Institute of Aeronautical Material
180,Wuhan University of Technology
181,Sun Yat Sen University
182,Zhengzhou University of Light Industry
183,Capital Medical University
184,Scuola Superiore Sant'Anna
185,Jianghan University
186,University of Auckland
187,University of Yaounde I
188,University of Electronic Science & Technology of China
189,Beijing University of Civil Engineering & Architecture
190,Shanxi Agricultural University
191,Universidade Federal de Santa Catarina (UFSC)
192,Universidad Nacional Autonoma de Mexico
193,Technical University of Munich
194,Qinghai University
195,Duke University
196,Technische Universitat Dresden
197,University of Zurich
198,University of Sherbrooke
199,Jining University
200,University of Aizu
201,University of Windsor
202,Michigan State University
203,Northwest Institute for Nonferrous Metal Research - China
204,Jilin University
205,Air University Islamabad
206,Queensland University of Technology (QUT)
207,University of Calgary
208,University of Kwazulu Natal
209,Hubei University of Arts & Science
210,China North Industries (NORINCO)
211,Harbin Engineering University
212,State Oceanic Administration
213,University of Jinan
214,University of British Columbia
215,University of Cassino
216,Chinese University of Hong Kong
217,Xidian University
218,Aviation Industry Corporation of China (AVIC)
219,Southwestern University of Finance & Economics - China
220,Macau University of Science & Technology
221,Lanzhou Jiaotong University
222,Anhui University of Science & Technology
223,Western University (University of Western Ontario)
224,Beijing Academy of Science & Technology
225,Chinese University of Hong Kong Shenzhen
226,Northwest Institute of Nuclear Technology - China
227,Soochow University - China
228,University of Oslo
229,China Aerospace Science & Technology Corporation (CASC)
230,Nagoya University
231,Toronto Metropolitan University
232,China Institute of Atomic Energy
233,Nanjing University of Aeronautics & Astronautics
234,North China University of Technology
235,East China Jiaotong University
236,Mudanjiang Normal University
237,Erbil Polytechnic University
238,CAPITAL UNIVERSITY OF PHYSICAL EDUCATION AND SPORTS
239,University of Edinburgh
240,Dalian Maritime University
241,Tianjin University Science & Technology
242,University of South China
243,Indian Institute of Science (IISC) - Bangalore
244,Baoding University
245,Shenzhen MSU-BIT University
246,Fudan University
247,Wenzhou University
248,National University of Sciences & Technology - Pakistan
249,Shanxi Normal University
250,Ilam University
251,State Grid Corporation of China
252,Shandong Technology & Business University
253,University of Witwatersrand
254,Zhengzhou University of Aeronautics
255,Universite Catholique Louvain
256,Kyung Hee University
257,Universitat Rovira i Virgili
258,Tomas Bata University Zlin
259,Qingdao University
260,ShenZhen Polytechnic
