University Label,University ID,Neighbor Label,Neighbor ID,betweenness_centrality
Beijing Institute of Technology,2,Northwestern Polytechnical University,29,0.1368450569565786
Beijing Institute of Technology,2,Beihang University,18,0.1367346087593936
Beijing Institute of Technology,2,Nanjing University of Aeronautics & Astronautics,233,0.07462840926071292
Beijing Institute of Technology,2,Nanjing University of Science & Technology,42,0.06844952967865976
Beijing Institute of Technology,2,Harbin Institute of Technology,98,0.05394282522251584
Beijing Institute of Technology,2,Harbin Engineering University,211,0.048236104050508766
Beijing Institute of Technology,2,Chinese Academy of Sciences,12,0.043606179387396894
Beijing Institute of Technology,2,Tsinghua University,24,0.010019600040656686
Beijing Institute of Technology,2,Centre National de la Recherche Scientifique (CNRS),454,0.008484889511468282
Beijing Institute of Technology,2,Peking University,35,0.008376836972684331
Beijing Institute of Technology,2,University of Chinese Academy of Sciences CAS,830,0.007278909721666432
Beijing Institute of Technology,2,Zhejiang University,129,0.006490521192957852
Beijing Institute of Technology,2,Shanghai Jiao Tong University,122,0.0062991468824440035
Beijing Institute of Technology,2,University of California System,827,0.006296621191847348
Beijing Institute of Technology,2,N8 Research Partnership,837,0.006012390859350003
Beijing Institute of Technology,2,UDICE-French Research Universities,1415,0.005752414133724361
Beijing Institute of Technology,2,Southeast University - China,410,0.00545202212860546
Beijing Institute of Technology,2,Sun Yat Sen University,181,0.005110660823558478
Beijing Institute of Technology,2,Shandong University,148,0.005030962636750489
Beijing Institute of Technology,2,Egyptian Knowledge Bank (EKB),1055,0.0049180851577415845
Beijing Institute of Technology,2,Nanjing University,372,0.004883498209021194
Beijing Institute of Technology,2,Russian Academy of Sciences,601,0.004547009120827853
Beijing Institute of Technology,2,National University of Singapore,96,0.004337893562177775
Beijing Institute of Technology,2,University of London,824,0.004221612741518108
Beijing Institute of Technology,2,United States Department of Energy (DOE),902,0.0036632102886308623
Beijing Institute of Technology,2,Xi'an Jiaotong University,62,0.0035050415521407233
Beijing Institute of Technology,2,Huazhong University of Science & Technology,138,0.003453276633628224
Beijing Institute of Technology,2,University of Cambridge,617,0.003300310986717102
Beijing Institute of Technology,2,University of Science & Technology of China CAS,983,0.00313556906238835
Beijing Institute of Technology,2,Dalian University of Technology,72,0.002968387545415586
Beijing Institute of Technology,2,Helmholtz Association,967,0.0029431435431971436
Beijing Institute of Technology,2,Consiglio Nazionale delle Ricerche (CNR),1191,0.002779426433537717
Beijing Institute of Technology,2,State University System of Florida,844,0.002608674454705369
Beijing Institute of Technology,2,Wuhan University,265,0.0024829187721230007
Beijing Institute of Technology,2,University of Texas System,832,0.0024785083089646424
Beijing Institute of Technology,2,City University of Hong Kong,108,0.002455625917398888
Beijing Institute of Technology,2,Shenzhen University,133,0.002445162401694256
Beijing Institute of Technology,2,Beijing Normal University,285,0.0022377312378418696
Beijing Institute of Technology,2,Fudan University,246,0.0022032812896661882
Beijing Institute of Technology,2,Capital Medical University,183,0.0022025207443502445
Beijing Institute of Technology,2,University System of Ohio,908,0.0021134576595805716
Beijing Institute of Technology,2,Imperial College London,171,0.002084489424128971
Beijing Institute of Technology,2,Consejo Superior de Investigaciones Cientificas (CSIC),1658,0.0020473287072330618
Beijing Institute of Technology,2,Harvard University,580,0.002018735914080408
Beijing Institute of Technology,2,University College London,825,0.0020001045971391475
Beijing Institute of Technology,2,University System of Georgia,834,0.00195465177901395
Beijing Institute of Technology,2,Swiss Federal Institutes of Technology Domain,871,0.0019235745861124875
Beijing Institute of Technology,2,King Saud University,499,0.001907458779306134
Beijing Institute of Technology,2,University of New South Wales Sydney,65,0.0018828298336195882
Beijing Institute of Technology,2,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.0018604295227070296
Beihang University,18,Beijing Institute of Technology,2,0.1637525475381109
Beihang University,18,Northwestern Polytechnical University,29,0.1368450569565786
Beihang University,18,Nanjing University of Aeronautics & Astronautics,233,0.07462840926071292
Beihang University,18,Nanjing University of Science & Technology,42,0.06844952967865976
Beihang University,18,Harbin Institute of Technology,98,0.05394282522251584
Beihang University,18,Harbin Engineering University,211,0.048236104050508766
Beihang University,18,Chinese Academy of Sciences,12,0.043606179387396894
Beihang University,18,Tsinghua University,24,0.010019600040656686
Beihang University,18,Centre National de la Recherche Scientifique (CNRS),454,0.008484889511468282
Beihang University,18,Peking University,35,0.008376836972684331
Beihang University,18,University of Chinese Academy of Sciences CAS,830,0.007278909721666432
Beihang University,18,Zhejiang University,129,0.006490521192957852
Beihang University,18,Shanghai Jiao Tong University,122,0.0062991468824440035
Beihang University,18,University of California System,827,0.006296621191847348
Beihang University,18,N8 Research Partnership,837,0.006012390859350003
Beihang University,18,UDICE-French Research Universities,1415,0.005752414133724361
Beihang University,18,Southeast University - China,410,0.00545202212860546
Beihang University,18,Sun Yat Sen University,181,0.005110660823558478
Beihang University,18,Shandong University,148,0.005030962636750489
Beihang University,18,Egyptian Knowledge Bank (EKB),1055,0.0049180851577415845
