University Label,University ID,Neighbor Label,Neighbor ID,closeness_centrality
Beijing Institute of Technology,2,Northwestern Polytechnical University,29,0.6859492988133765
Beijing Institute of Technology,2,Beihang University,18,0.6839204087120193
Beijing Institute of Technology,2,Chinese Academy of Sciences,12,0.6519287453543509
Beijing Institute of Technology,2,Nanjing University of Science & Technology,42,0.6294234100470181
Beijing Institute of Technology,2,Nanjing University of Aeronautics & Astronautics,233,0.6281797974808595
Beijing Institute of Technology,2,Harbin Institute of Technology,98,0.5971358140626835
Beijing Institute of Technology,2,Harbin Engineering University,211,0.5878885935513695
Beijing Institute of Technology,2,Tsinghua University,24,0.5874133949191686
Beijing Institute of Technology,2,Peking University,35,0.5807740609658637
Beijing Institute of Technology,2,Shanghai Jiao Tong University,122,0.5768881832615106
Beijing Institute of Technology,2,University of California System,827,0.5759085248499943
Beijing Institute of Technology,2,Zhejiang University,129,0.574867216634648
Beijing Institute of Technology,2,Centre National de la Recherche Scientifique (CNRS),454,0.574867216634648
Beijing Institute of Technology,2,Nanjing University,372,0.571187963170896
Beijing Institute of Technology,2,N8 Research Partnership,837,0.5704193765418255
Beijing Institute of Technology,2,Sun Yat Sen University,181,0.5695890717724779
Beijing Institute of Technology,2,Southeast University - China,410,0.5683798882681564
Beijing Institute of Technology,2,UDICE-French Research Universities,1415,0.5675555059689836
Beijing Institute of Technology,2,University of Chinese Academy of Sciences CAS,830,0.566354932086395
Beijing Institute of Technology,2,United States Department of Energy (DOE),902,0.5638439370427843
Beijing Institute of Technology,2,University of Science & Technology of China CAS,983,0.5638439370427843
Beijing Institute of Technology,2,Shandong University,148,0.563344407530454
Beijing Institute of Technology,2,University of London,824,0.5629080447051013
Beijing Institute of Technology,2,National University of Singapore,96,0.5616650104891244
Beijing Institute of Technology,2,Huazhong University of Science & Technology,138,0.5613551092474067
Beijing Institute of Technology,2,Fudan University,246,0.560921821590032
Beijing Institute of Technology,2,University of Cambridge,617,0.5608599779492833
Beijing Institute of Technology,2,City University of Hong Kong,108,0.5595028596568412
Beijing Institute of Technology,2,Wuhan University,265,0.5586426531956952
Beijing Institute of Technology,2,Helmholtz Association,967,0.5586426531956952
Beijing Institute of Technology,2,Swiss Federal Institutes of Technology Domain,871,0.5579074358411933
Beijing Institute of Technology,2,Dalian University of Technology,72,0.5576016661186013
Beijing Institute of Technology,2,Beijing Normal University,285,0.5568082311733801
Beijing Institute of Technology,2,University of Texas System,832,0.5554706267744048
Beijing Institute of Technology,2,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.5554099792553773
Beijing Institute of Technology,2,State University System of Florida,844,0.5540790763533384
Beijing Institute of Technology,2,Xiamen University,26,0.5534160139251523
Beijing Institute of Technology,2,Max Planck Society,118,0.5529347826086957
Beijing Institute of Technology,2,East China Normal University,582,0.552574407994786
Beijing Institute of Technology,2,Hunan University,157,0.5520946385934448
Beijing Institute of Technology,2,Harvard University,580,0.5518550661748752
Beijing Institute of Technology,2,University System of Georgia,834,0.5513765445480164
Beijing Institute of Technology,2,University of California Los Angeles,988,0.5513765445480164
Beijing Institute of Technology,2,University of Illinois System,928,0.5512570437798006
Beijing Institute of Technology,2,Egyptian Knowledge Bank (EKB),1055,0.5512570437798006
Beijing Institute of Technology,2,University of New South Wales Sydney,65,0.5510778897194237
Beijing Institute of Technology,2,University College London,825,0.5507795582503248
