University Label,University ID,Neighbor Label,Neighbor ID,eigenvector_centrality
Beijing Institute of Technology,2,Chinese Academy of Sciences,12,0.043971503108651146
Beijing Institute of Technology,2,Tsinghua University,24,0.0423751192185448
Beijing Institute of Technology,2,Peking University,35,0.0421423128138604
Beijing Institute of Technology,2,University of California System,827,0.04206963135887149
Beijing Institute of Technology,2,Shanghai Jiao Tong University,122,0.04204977345992685
Beijing Institute of Technology,2,Zhejiang University,129,0.041895778111873255
Beijing Institute of Technology,2,Nanjing University,372,0.041784502216131274
Beijing Institute of Technology,2,Centre National de la Recherche Scientifique (CNRS),454,0.04167700329968565
Beijing Institute of Technology,2,Sun Yat Sen University,181,0.041625877720386124
Beijing Institute of Technology,2,Southeast University - China,410,0.0416241757104083
Beijing Institute of Technology,2,N8 Research Partnership,837,0.041568232323797374
Beijing Institute of Technology,2,University of Science & Technology of China CAS,983,0.04149172377999886
Beijing Institute of Technology,2,United States Department of Energy (DOE),902,0.041455248955838665
Beijing Institute of Technology,2,UDICE-French Research Universities,1415,0.04145432271698941
Beijing Institute of Technology,2,Fudan University,246,0.041339389804286975
Beijing Institute of Technology,2,University of London,824,0.04126378489211368
Beijing Institute of Technology,2,City University of Hong Kong,108,0.04125555409649625
Beijing Institute of Technology,2,Huazhong University of Science & Technology,138,0.04123775787967459
Beijing Institute of Technology,2,National University of Singapore,96,0.04121263097476511
Beijing Institute of Technology,2,University of Cambridge,617,0.041171398113155705
Beijing Institute of Technology,2,Shandong University,148,0.04114378264294227
Beijing Institute of Technology,2,Wuhan University,265,0.0411412270268272
Beijing Institute of Technology,2,Helmholtz Association,967,0.0410651871023146
Beijing Institute of Technology,2,Swiss Federal Institutes of Technology Domain,871,0.04106507652169778
Beijing Institute of Technology,2,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.04096534844790276
Beijing Institute of Technology,2,Beijing Normal University,285,0.04091663307806786
Beijing Institute of Technology,2,Dalian University of Technology,72,0.04089618249980144
Beijing Institute of Technology,2,University of Texas System,832,0.040806973719288264
Beijing Institute of Technology,2,Xiamen University,26,0.04075219766465536
Beijing Institute of Technology,2,University of Illinois System,928,0.040686384475370055
Beijing Institute of Technology,2,State University System of Florida,844,0.040667489658967895
Beijing Institute of Technology,2,Max Planck Society,118,0.04066449124481747
Beijing Institute of Technology,2,University System of Georgia,834,0.04063128356555981
Beijing Institute of Technology,2,University of New South Wales Sydney,65,0.040620109048083726
Beijing Institute of Technology,2,Hunan University,157,0.04057944260262086
Beijing Institute of Technology,2,University of Hong Kong,40,0.040567633530135185
Beijing Institute of Technology,2,East China Normal University,582,0.040566499179844236
Beijing Institute of Technology,2,University of Sydney,71,0.04054021486248121
Beijing Institute of Technology,2,University of California Los Angeles,988,0.04050884627955182
Beijing Institute of Technology,2,University of Michigan System,975,0.04048798578226967
Beijing Institute of Technology,2,University of Michigan,976,0.04048736979256888
Beijing Institute of Technology,2,Harvard University,580,0.040468487517631095
Beijing Institute of Technology,2,Massachusetts Institute of Technology (MIT),103,0.040457403905038304
Beijing Institute of Technology,2,University College London,825,0.04043043600376497
Beijing Institute of Technology,2,University System of Ohio,908,0.04035192383242554
Beijing Institute of Technology,2,Pennsylvania State University,1121,0.04035191015196911
Beijing Institute of Technology,2,White Rose University Consortium,1170,0.04034329300368648
Beijing Institute of Technology,2,Stanford University,543,0.04033108812520082
Beijing Institute of Technology,2,Duke University,195,0.04031401646268286
Beijing Institute of Technology,2,Pennsylvania State University - University Park,1157,0.04029456234489616
Beihang University,18,Chinese Academy of Sciences,12,0.043971503108651146
Beihang University,18,Tsinghua University,24,0.0423751192185448
Beihang University,18,Peking University,35,0.0421423128138604
Beihang University,18,University of California System,827,0.04206963135887149
Beihang University,18,Shanghai Jiao Tong University,122,0.04204977345992685
Beihang University,18,Zhejiang University,129,0.041895778111873255
Beihang University,18,Nanjing University,372,0.041784502216131274
Beihang University,18,Centre National de la Recherche Scientifique (CNRS),454,0.04167700329968565
Beihang University,18,Sun Yat Sen University,181,0.041625877720386124
Beihang University,18,Southeast University - China,410,0.0416241757104083
Beihang University,18,N8 Research Partnership,837,0.041568232323797374
Beihang University,18,University of Science & Technology of China CAS,983,0.04149172377999886
Beihang University,18,United States Department of Energy (DOE),902,0.041455248955838665
Beihang University,18,UDICE-French Research Universities,1415,0.04145432271698941
Beihang University,18,Fudan University,246,0.041339389804286975
Beihang University,18,University of London,824,0.04126378489211368
Beihang University,18,City University of Hong Kong,108,0.04125555409649625
Beihang University,18,Huazhong University of Science & Technology,138,0.04123775787967459
Beihang University,18,National University of Singapore,96,0.04121263097476511
Beihang University,18,University of Cambridge,617,0.041171398113155705
Beihang University,18,Shandong University,148,0.04114378264294227
Beihang University,18,Wuhan University,265,0.0411412270268272
Beihang University,18,Helmholtz Association,967,0.0410651871023146
Beihang University,18,Swiss Federal Institutes of Technology Domain,871,0.04106507652169778
Beihang University,18,Pennsylvania Commonwealth System of Higher Education (PCSHE),855,0.04096534844790276
Beihang University,18,Beijing Normal University,285,0.04091663307806786
Beihang University,18,Dalian University of Technology,72,0.04089618249980144
Beihang University,18,University of Texas System,832,0.040806973719288264
Beihang University,18,Xiamen University,26,0.04075219766465536
Beihang University,18,University of Illinois System,928,0.040686384475370055
Beihang University,18,State University System of Florida,844,0.040667489658967895
Beihang University,18,Max Planck Society,118,0.04066449124481747
Beihang University,18,University System of Georgia,834,0.04063128356555981
Beihang University,18,University of New South Wales Sydney,65,0.040620109048083726
Beihang University,18,Hunan University,157,0.04057944260262086
Beihang University,18,University of Hong Kong,40,0.040567633530135185
Beihang University,18,East China Normal University,582,0.040566499179844236
Beihang University,18,University of Sydney,71,0.04054021486248121
Beihang University,18,University of California Los Angeles,988,0.04050884627955182
Beihang University,18,University of Michigan System,975,0.04048798578226967
Beihang University,18,University of Michigan,976,0.04048736979256888
Beihang University,18,Harvard University,580,0.040468487517631095
Beihang University,18,Massachusetts Institute of Technology (MIT),103,0.040457403905038304
Beihang University,18,University College London,825,0.04043043600376497
Beihang University,18,University System of Ohio,908,0.04035192383242554
Beihang University,18,Pennsylvania State University,1121,0.04035191015196911
Beihang University,18,White Rose University Consortium,1170,0.04034329300368648
Beihang University,18,Stanford University,543,0.04033108812520082
Beihang University,18,Duke University,195,0.04031401646268286
Beihang University,18,Pennsylvania State University - University Park,1157,0.04029456234489616
Northwestern Polytechnical University,29,Chinese Academy of Sciences,12,0.043971503108651146
Northwestern Polytechnical University,29,Tsinghua University,24,0.0423751192185448
Northwestern Polytechnical University,29,Peking University,35,0.0421423128138604
Northwestern Polytechnical University,29,University of California System,827,0.04206963135887149
