Id,Label,country
1,Ministry of Education China,China
2,Beijing Institute of Technology,China
3,Ministry of Science and Technology China,China
4,Tencent,China
5,Sinopec,China
6,China Telecom Corp. Ltd.,China
7,RIKEN,Japan
8,Bryant University,United States
9,Weichai Power Co. Ltd.,China
10,SAIC Motor,China
11,China Merchants Bank,China
12,Chinese Academy of Sciences,China
13,Jamia Millia Islamia,India
14,Washington University (WUSTL),United States
15,Jinan University,China
16,Chinese Academy of Engineering Physics,China
17,China People's Police University,China
18,Beihang University,China
19,North China Electric Power University,China
20,Cornell University,United States
21,Delft University of Technology,Netherlands
22,University of Science & Technology Beijing,China
23,Guangxi University,China
24,Tsinghua University,China
25,University of Gottingen,Germany
26,Xiamen University,China
27,Chang'an University,China
28,Swinburne University of Technology,Australia
29,Northwestern Polytechnical University,China
30,China Agricultural University,China
31,Royal Institute of Technology,Sweden
32,King Khalid University,Saudi Arabia
33,Nankai University,China
34,Southern University of Science & Technology,China
35,Peking University,China
36,Shanghai Institute of Technology,China
37,Yancheng Institute of Technology,China
38,Lanzhou University,China
39,Northwestern University,United States
40,University of Hong Kong,Hong Kong
41,Shandong Normal University,China
42,Nanjing University of Science & Technology,China
43,University of Chicago,United States
44,Bohai University,China
45,University of Shanghai for Science & Technology,China
46,Henan Polytechnic University,China
47,Communication University of Zhejiang,China
48,University of Delaware,United States
49,Zaozhuang University,China
50,Shandong University of Science & Technology,China
51,China National Nuclear Corporation,China
52,Lanzhou City University,China
53,North China Institute Science & Technology,China
54,Clemson University,United States
55,Beijing Technology & Business University,China
56,Korea University,South Korea
57,Hong Kong Polytechnic University,Hong Kong
58,Ming Chuan University,Taiwan
59,Beijing Institute of Fashion Technology,China
60,University of Oxford,United Kingdom
61,Nanjing University of Finance & Economics,China
62,Xi'an Jiaotong University,China
63,Dalian Polytechnic University,China
64,Academy of Military Medical Sciences - China,China
65,University of New South Wales Sydney,Australia
66,Liaoning University of Technology,China
67,University of Alberta,Canada
68,Hebei University,China
69,Kyushu University,Japan
70,Shenyang Aerospace University,China
71,University of Sydney,Australia
72,Dalian University of Technology,China
73,Xi'an University of Science & Technology,China
74,Taiyuan University of Technology,China
75,China Electronics Technology Group,China
76,Shanghai University,China
77,Alibaba Group,China
78,Minjiang University,China
79,PLA Information Engineering University,China
80,Air Force Military Medical University,China
81,Tiangong University,China
82,University of the South Pacific,Fiji
83,Beijing University of Posts & Telecommunications,China
84,Wageningen University & Research,Netherlands
85,University of Gujrat,Pakistan
86,Cranfield University,United Kingdom
87,Beijing University of Chinese Medicine,China
88,Chengdu University of Traditional Chinese Medicine,China
89,Hebei Normal University,China
90,Guangxi Normal University,China
91,Ningbo University,China
92,North University of China,China
93,Capital University of Science & Technology,China
94,Inner Mongolia Agricultural University,China
95,Hebei University of Technology,China
96,National University of Singapore,Singapore
97,Capital Normal University,China
98,Harbin Institute of Technology,China
99,Jiangsu University,China
100,University of Waterloo,Canada
101,Beijing University of Chemical Technology,China
102,Zhejiang Ocean University,China
103,Massachusetts Institute of Technology (MIT),United States
104,Renmin University of China,China
105,Yanan University,China
106,Fujian University of Technology,China
107,Tianjin University,China
108,City University of Hong Kong,Hong Kong
109,University of Glasgow,United Kingdom
110,Hefei University of Technology,China
111,Yuncheng University,China
112,Hazara University,Pakistan
113,Northeastern University - China,China
114,Foshan University,China
115,Sichuan Normal University,China
116,University of Sharjah,United Arab Emirates
117,National University of Defense Technology - China,China
118,Max Planck Society,Germany
119,Yanshan University,China
120,Beijing Information Science & Technology University,China
121,University of Virginia,United States
122,Shanghai Jiao Tong University,China
123,Aerospace Engineering University,China
124,Ministry of Public Security (China),China
125,Kagawa University,Japan
126,Zhengzhou University,China
127,Chuxiong Normal University,China
128,Inha University,South Korea
129,Zhejiang University,China
130,Villanova University,United States
131,Chengdu University of Information Technology,China
132,Beijing University of Technology,China
133,Shenzhen University,China
134,China University of Petroleum,China
135,Xi'an Modern Chemistry Research Institute,China
136,Universitat Siegen,Germany
137,Beijing Jiaotong University,China
138,Huazhong University of Science & Technology,China
139,China State Construction Engineering Corporation,China
140,Chiang Mai University,Thailand
141,Yantai University,China
142,Cheng Shiu University,Taiwan
143,Hong Kong University of Science & Technology,Hong Kong
144,Case Western Reserve University,United States
145,Hong Kong Baptist University,Hong Kong
146,Anhui University of Finance & Economics,China
147,Army Engineering University of PLA,China
148,Shandong University,China
149,Jiujiang University,China
150,Xuzhou University of Technology,China
151,Harbin University of Science & Technology,China
152,Aalto University,Finland
153,Hangzhou Hikvision Digital Technology Co. Ltd.,China
154,Sichuan University,China
155,Beijing Union University,China
156,Liaoning University,China
157,Hunan University,China
158,Jinzhong University,China
159,Harbin Normal University,China
160,University of Technology Sydney,Australia
161,Nanning Normal University,China
162,Australian National University,Australia
163,China Academy of Safety Science & Technology,China
164,China University of Mining & Technology,China
165,University of the Sunshine Coast,Australia
166,University of Kiel,Germany
167,University of Bonn,Germany
168,Chongqing University of Technology,China
169,Yale University,United States
170,Nanjing University of Posts & Telecommunications,China
171,Imperial College London,United Kingdom
172,University of Canterbury,New Zealand
173,Peng Cheng Laboratory,China
174,Central South University,China
175,Tongji University,China
176,Ibaraki University,Japan
177,University of International Business & Economics,China
178,University of Bath,United Kingdom
179,Beijing Institute of Aeronautical Material,China
180,Wuhan University of Technology,China
181,Sun Yat Sen University,China
182,Zhengzhou University of Light Industry,China
183,Capital Medical University,China
184,Scuola Superiore Sant'Anna,Italy
185,Jianghan University,China
186,University of Auckland,New Zealand
187,University of Yaounde I,Cameroon
188,University of Electronic Science & Technology of China,China
189,Beijing University of Civil Engineering & Architecture,China
190,Shanxi Agricultural University,China
191,Universidade Federal de Santa Catarina (UFSC),Brazil
192,Universidad Nacional Autonoma de Mexico,Mexico
193,Technical University of Munich,Germany
194,Qinghai University,China
195,Duke University,United States
196,Technische Universitat Dresden,Germany
197,University of Zurich,Switzerland
198,University of Sherbrooke,Canada
199,Jining University,China
200,University of Aizu,Japan
201,University of Windsor,Canada
202,Michigan State University,United States
203,Northwest Institute for Nonferrous Metal Research - China,China
204,Jilin University,China
205,Air University Islamabad,Pakistan
206,Queensland University of Technology (QUT),Australia
207,University of Calgary,Canada
208,University of Kwazulu Natal,South Africa
209,Hubei University of Arts & Science,China
210,China North Industries (NORINCO),China
211,Harbin Engineering University,China
212,State Oceanic Administration,China
213,University of Jinan,China
214,University of British Columbia,Canada
215,University of Cassino,Italy
216,Chinese University of Hong Kong,Hong Kong
217,Xidian University,China
218,Aviation Industry Corporation of China (AVIC),China
219,Southwestern University of Finance & Economics - China,China
220,Macau University of Science & Technology,Macau
221,Lanzhou Jiaotong University,China
222,Anhui University of Science & Technology,China
223,Western University (University of Western Ontario),Canada
224,Beijing Academy of Science & Technology,China
225,Chinese University of Hong Kong Shenzhen,China
226,Northwest Institute of Nuclear Technology - China,China
227,Soochow University - China,China
228,University of Oslo,Norway
229,China Aerospace Science & Technology Corporation (CASC),China
230,Nagoya University,Japan
231,Toronto Metropolitan University,Canada
232,China Institute of Atomic Energy,China
233,Nanjing University of Aeronautics & Astronautics,China
234,North China University of Technology,China
235,East China Jiaotong University,China
236,Mudanjiang Normal University,China
237,Erbil Polytechnic University,Iraq
238,CAPITAL UNIVERSITY OF PHYSICAL EDUCATION AND SPORTS,India
239,University of Edinburgh,United Kingdom
240,Dalian Maritime University,China
241,Tianjin University Science & Technology,China
242,University of South China,China
243,Indian Institute of Science (IISC) - Bangalore,India
244,Baoding University,China
245,Shenzhen MSU-BIT University,China
246,Fudan University,China
247,Wenzhou University,China
248,National University of Sciences & Technology - Pakistan,Pakistan
249,Shanxi Normal University,China
250,Ilam University,Iran
251,State Grid Corporation of China,China
252,Shandong Technology & Business University,China
253,University of Witwatersrand,South Africa
254,Zhengzhou University of Aeronautics,China
255,Universite Catholique Louvain,Belgium
256,Kyung Hee University,South Korea
257,Universitat Rovira i Virgili,Spain
258,Tomas Bata University Zlin,Czech Republic
259,Qingdao University,China
260,ShenZhen Polytechnic,China
261,Liaoning Normal University,China
262,Universidade da Beira Interior,Portugal
263,University of Ottawa,Canada
264,Minzu University of China,China
265,Wuhan University,China
266,People's Public Security University of China,China
267,Chinese People's Liberation Army General Hospital,China
268,Swansea University,United Kingdom
269,Guilin University of Electronic Technology,China
270,Microsoft,United States
271,National Taipei University of Technology,Taiwan
272,Tianjin University of Technology,China
273,University of Eastern Finland,Finland
274,Air Force Engineering University,China
275,University of Cologne,Germany
276,George Mason University,United States
277,National Institute of Metrology China,China
278,Nanyang Normal College,China
279,Daqing Normal University,China
280,Zhejiang Normal University,China
281,Chongqing University,China
282,Tel Aviv University,Israel
283,McGill University,Canada
284,Columbia University,United States
285,Beijing Normal University,China
286,Shanxi Medical University,China
287,Qinghai Nationalities University,China
288,Shenyang Ligong University,China
289,Xinjiang University,China
290,NTT Docomo,Japan
291,The Welding Institute (TWI),United Kingdom
292,Dongbei University of Finance & Economics,China
293,Beijing Forestry University,China
294,Polytechnic University of Milan,Italy
295,China Mobile,China
296,Rocket Force University of Engineering,China
297,Changchun University of Science & Technology,China
298,Wuhan Institute of Technology,China
299,Huanghuai University,China
300,Chongqing University of Posts & Telecommunications,China
