Id,Label
1,Beijing Institute of Technology
2,Ministry of Education China
3,National Natural Science Foundation of China (NSFC)
4,Ministry of Science and Technology China
5,RIKEN
6,Tencent
7,Sinopec
8,Aerospace Engineering University
9,Chinese Academy of Sciences
10,Bright Dairy & Food Co Ltd
11,China Telecom Corp. Ltd.
12,Bryant University
13,Weichai Power Co. Ltd.
14,SAIC Motor
15,Alcatel-Lucent
16,China Merchants Bank
17,Jamia Millia Islamia
18,Washington University (WUSTL)
19,Jinan University
20,Chinese Academy of Engineering Physics
21,China People's Police University
22,Beihang University
23,North China Electric Power University
24,Cornell University
25,Delft University of Technology
26,University of Science & Technology Beijing
27,Guangxi University
28,Tsinghua University
29,University of Gottingen
30,Xiamen University
31,Chang'an University
32,Swinburne University of Technology
33,Northwestern Polytechnical University
34,China Agricultural University
35,Royal Institute of Technology
36,King Khalid University
37,Nankai University
38,Southern University of Science & Technology
39,Peking University
40,Shanghai Institute of Technology
41,Yancheng Institute of Technology
42,Lanzhou University
43,Northwestern University
44,University of Hong Kong
45,Shandong Normal University
46,Nanjing University of Science & Technology
47,University of Chicago
48,Bohai University
49,University of Shanghai for Science & Technology
50,Henan Polytechnic University
51,Communication University of Zhejiang
52,University of Delaware
53,Zaozhuang University
54,Shandong University of Science & Technology
55,China National Nuclear Corporation
56,Lanzhou City University
57,North China Institute Science & Technology
58,Clemson University
59,Beijing Technology & Business University
60,Korea University
61,Hong Kong Polytechnic University
62,Ming Chuan University
63,Beijing Institute of Fashion Technology
64,University of Oxford
65,Nanjing University of Finance & Economics
66,Xi'an Jiaotong University
67,Dalian Polytechnic University
68,Academy of Military Medical Sciences - China
69,University of New South Wales Sydney
70,Liaoning University of Technology
71,University of Alberta
72,Hebei University
73,Kyushu University
74,Shenyang Aerospace University
75,University of Sydney
76,Dalian University of Technology
77,Xi'an University of Science & Technology
78,Taiyuan University of Technology
79,China Electronics Technology Group
80,Shanghai University
81,Alibaba Group
82,Minjiang University
83,PLA Information Engineering University
84,Air Force Military Medical University
85,Tiangong University
86,University of the South Pacific
87,Beijing University of Posts & Telecommunications
88,Wageningen University & Research
89,University of Gujrat
90,Cranfield University
91,Beijing University of Chinese Medicine
92,Chengdu University of Traditional Chinese Medicine
93,Hebei Normal University
94,Guangxi Normal University
95,Ningbo University
96,North University of China
97,Capital University of Science & Technology
98,Inner Mongolia Agricultural University
99,Hebei University of Technology
100,National University of Singapore
101,Capital Normal University
102,Harbin Institute of Technology
103,Jiangsu University
104,University of Waterloo
105,Beijing University of Chemical Technology
106,Zhejiang Ocean University
107,Massachusetts Institute of Technology (MIT)
108,Renmin University of China
109,Yanan University
110,Fujian University of Technology
111,Tianjin University
112,City University of Hong Kong
113,University of Glasgow
114,Hefei University of Technology
115,Yuncheng University
116,Hazara University
117,Northeastern University - China
118,Foshan University
119,Sichuan Normal University
120,University of Sharjah
121,National University of Defense Technology - China
122,Max Planck Society
123,Yanshan University
124,Beijing Information Science & Technology University
125,University of Virginia
126,Shanghai Jiao Tong University
127,Ministry of Public Security (China)
128,Kagawa University
129,Zhengzhou University
130,Chuxiong Normal University
131,Inha University
132,Zhejiang University
133,Villanova University
134,Chengdu University of Information Technology
135,Beijing University of Technology
136,Shenzhen University
137,China University of Petroleum
138,Xi'an Modern Chemistry Research Institute
139,Universitat Siegen
140,Beijing Jiaotong University
141,Huazhong University of Science & Technology
142,China State Construction Engineering Corporation
143,Chiang Mai University
144,Yantai University
